Total of 228 directories 
     key    d_min cc_exptl     CC*
2p10/w1/  2.15   0.338   0.263 
2p10/w2/  2.15   0.193   0.114 
2p4o/w1/  1.90   0.310   0.310 
2p4o/w2/  1.95   0.348   0.432 
2p4o/w3/  1.90   0.295   0.303 
2p7h/w1/  1.85   0.377   0.337 
2p7i/w1/  1.74   0.375   0.322 
2p7i/w2/  1.79   0.364   0.381 
2p97/w1/  1.65   0.417   0.474 
2p97/w2/  1.65   0.349   0.317 
2p97/w3/  1.65   0.330   0.286 
2p97/w4/  1.65   0.387   0.390 
2pg3/w1/  2.40   0.362   0.473 
2pg4/w1/  2.21   0.179   0.185 
2pg4/w2/  2.21   0.296   0.272 
2pgc/w1/  2.53   0.308   0.282 
2pgc/w2/  2.60   0.278   0.269 
2pim/w1/  2.20   0.380   0.406 
2pim/w2/  2.20   0.385   0.530 
2pn1/w1/  2.00   0.303   0.217 
2pn1/w2/  2.00   0.327   0.315 
2pnk/w1/  2.00   0.387   0.295 
2pnk/w2/  2.00   0.364   0.331 
2ppv/w1/  2.00   0.270   0.196 
2ppv/w2/  2.11   0.281   0.198 
2pr1/w1/  3.20  -1.000   0.502 
2pr7/w1/  1.44   0.199   0.286 
2pr7/w2/  1.55   0.176   0.247 
2prv/w1/  1.30   0.304   0.341 
2prv/w2/  1.30   0.247   0.253 
2prv/w3/  1.37   0.350   0.368 
2pv4/w1/  1.95   0.407   0.479 
2pv4/w2/  1.95   0.406   0.618 
2pv4/w3/  1.95   0.429   0.642 
2pw4/w1/  1.45   0.416   0.340 
2pw4/w2/  1.45   0.407   0.331 
2pw4/w3/  1.45   0.447   0.374 
2wcd/w1/  3.29   0.027   0.080 
2xdd/w1/  3.20   0.036   0.071 
2zxh/w1/  3.20   0.274   0.301 
3caz/w1/  3.34   0.247   0.317 
3din/w1/  4.50   0.006   0.045 
3dto/w1/  3.32   0.209   0.272 
3fx0/w1/  3.29   0.066   0.346 
3guw/w1/  3.20   0.219   0.240 
3gw7/w1/  3.30   0.232   0.223 
3hxk/w1/  3.20   0.133   0.183 
3hxp/w1/  3.20   0.268   0.423 
3lml/w1/  3.30   0.344   0.487 
3mv3/w1/  3.25   0.227   0.375 
3ov0/w1/  3.20   0.357   0.424 
3pg5/w1/  3.30   0.286   0.368 
3zgx/w1/  3.40   0.244   0.319 
3zxu/w1/  3.80  -1.000   0.317 
4acb/w1/  3.34   0.221   0.390 
4asn/w1/  3.50   0.218   0.526 
4bql/w1/  3.34   0.213   0.274 
4cb0/w1/  3.30   0.174   0.481 
4cbv/w1/  3.40   0.216   0.261 
4fsx/w1/  3.20   0.294   0.324 
4g9i/w1/  4.50   0.176   0.347 
4gkw/w1/  3.30   0.044   0.304 
4h6y/w1/  4.09   0.028   0.385 
4hkr/w1/  3.35  -1.000   0.037 
4hnd/w1/  3.20   0.256   0.305 
4ifq/w1/  3.25   0.304   0.448 
4lck/w1/  3.20   0.248   0.247 
4m2s/w1/  4.31   0.012   0.105 
4nsc/w1/  3.20   0.336   0.491 
4nt5/w1/  3.28   0.178   0.338 
4px7/w1/  3.20   0.256   0.385 
4q8j/w1/  3.80   0.031   0.218 
4qka/w1/  3.20  -1.000   0.544 
4tq5/w1/  3.20   0.272   0.345 
