Total of 187 directories 
     key    d_min   signal pred_signal
2fur/w3/  3.50  10.870  11.100 
2fur/w3/  4.00   9.220   9.400 
2fur/w3/  4.50   7.770   8.000 
2fur/w3/  5.00   6.750   6.900 
2fur/w3/  5.50   5.890   6.000 
2fur/w3/  6.00   5.090   5.300 
2fzt/w1/  2.05  11.180  15.600 
2fzt/w1/  2.50  12.330  14.500 
2fzt/w1/  3.00  12.530  12.400 
2fzt/w1/  3.50  10.890  10.300 
2fzt/w1/  4.00   9.540   8.600 
2fzt/w1/  4.50   8.060   6.900 
2fzt/w1/  5.00   6.860   5.800 
2fzt/w1/  5.50   5.870   5.100 
2fzt/w1/  6.00   5.180   4.500 
2fzt/w2/  2.05   1.570   2.300 
2fzt/w2/  2.50   1.920   2.500 
2fzt/w2/  3.00   1.980   2.300 
2fzt/w2/  3.50   1.850   2.100 
2fzt/w2/  4.00   1.600   1.800 
2fzt/w2/  4.50   1.790   1.500 
2fzt/w2/  5.00   1.890   1.200 
2fzt/w2/  5.50   1.800   1.100 
2fzt/w2/  6.00   1.630   1.000 
2g0t/w1/  2.67  11.210   9.400 
2g0t/w1/  3.00  12.860   9.700 
2g0t/w1/  3.50  13.450   9.400 
2g0t/w1/  4.00  12.620   8.300 
2g0t/w1/  4.50  11.650   7.100 
2g0t/w1/  5.00  10.460   6.200 
2g0t/w1/  5.50   9.660   5.600 
2g0t/w1/  6.00   8.720   5.200 
2g0t/w2/  2.82   4.160  -1.000 
2g0t/w2/  3.00   4.290   7.000 
2g0t/w2/  3.50   4.950   6.900 
2g0t/w2/  4.00   5.150   6.300 
2g0t/w2/  4.50   4.950   5.500 
2g0t/w2/  5.00   4.740   4.800 
2g0t/w2/  5.50   4.780   4.400 
2g0t/w2/  6.00   4.560   4.200 
2g0t/w3/  2.74   5.870  -1.000 
2g0t/w3/  3.00   6.440   6.000 
2g0t/w3/  3.50   6.550   6.000 
2g0t/w3/  4.00   6.450   5.500 
2g0t/w3/  4.50   6.240   4.800 
2g0t/w3/  5.00   5.920   4.200 
2g0t/w3/  5.50   5.640   3.900 
2g0t/w3/  6.00   5.630   3.800 
2g42/w1/  2.28  11.200  14.200 
2g42/w1/  3.00  13.540  12.600 
2g42/w1/  3.50  12.270  10.800 
2g42/w1/  4.00  11.260   9.100 
2g42/w1/  4.50   9.440   7.500 
2g42/w1/  5.00   8.150   6.300 
2g42/w1/  5.50   7.180   5.600 
2g42/w1/  6.00   6.230   5.000 
2gc9/w1/  1.70   9.010  15.500 
2gc9/w1/  2.00  10.240  15.300 
2gc9/w1/  2.50  10.370  13.300 
2gc9/w1/  3.00  10.480  11.400 
2gc9/w1/  3.50   8.780   9.600 
2gc9/w1/  4.00   8.080   8.000 
2gc9/w1/  4.50   6.790   6.700 
2gc9/w1/  5.00   5.840   5.700 
2gc9/w1/  5.50   5.160   4.900 
2gc9/w1/  6.00   4.300   4.300 
2gc9/w2/  1.70   9.810  15.000 
2gc9/w2/  2.00  10.770  15.000 
2gc9/w2/  2.50  11.060  13.500 
2gc9/w2/  3.00  10.900  11.600 
2gc9/w2/  3.50   9.190   9.800 
2gc9/w2/  4.00   8.430   8.200 
2gc9/w2/  4.50   6.960   6.900 
2gc9/w2/  5.00   6.000   5.900 
2gc9/w2/  5.50   5.160   5.100 
2gc9/w2/  6.00   4.240   4.500 
2nlv/w1/  1.30   3.250   6.100 
2nlv/w1/  2.00   3.950   6.300 
2nlv/w1/  2.50   3.660   5.200 
2nlv/w1/  3.00   3.090   4.300 
2nlv/w1/  3.50   2.690   3.500 
2nlv/w1/  4.00   2.650   2.900 
2nlv/w1/  4.50   2.380   2.400 
2nlv/w1/  5.00   2.230   2.000 
2nlv/w1/  5.50   2.090   1.700 
2nlv/w1/  6.00   2.000   1.500 
2nlv/w2/  1.30  23.460  31.700 
2nlv/w2/  2.00  18.910  24.200 
2nlv/w2/  2.50  14.880  18.200 
2nlv/w2/  3.00  11.330  14.100 
2nlv/w2/  3.50   8.620  11.300 
2nlv/w2/  4.00   6.940   9.300 
2nlv/w2/  4.50   5.660   7.700 
2nlv/w2/  5.00   4.780   6.600 
2nlv/w2/  5.50   4.050   5.700 
2nlv/w2/  6.00   3.510   5.000 
2nlv/w3/  1.33  20.190  -1.000 
2nlv/w3/  2.00  17.760  24.800 
2nlv/w3/  2.50  14.330  18.500 
2nlv/w3/  3.00  11.090  14.300 
2nlv/w3/  3.50   8.800  11.500 
2nlv/w3/  4.00   7.100   9.400 
2nlv/w3/  4.50   5.980   7.900 
2nlv/w3/  5.00   4.990   6.700 
2nlv/w3/  5.50   4.300   5.800 
2nlv/w3/  6.00   3.770   5.100 
2nuj/w1/  2.00  23.940  -1.000 
2nuj/w1/  2.50  24.950  13.700 
2nuj/w1/  3.00  22.870  12.900 
2nuj/w1/  3.50  19.000  11.200 
2nuj/w1/  4.00  15.570   9.400 
2nuj/w1/  4.50  13.170   8.000 
2nuj/w1/  5.00  10.680   6.800 
2nuj/w1/  5.50   9.120   5.900 
2nuj/w1/  6.00   7.660   5.300 
2nwv/w1/  1.85  16.760  20.400 
2nwv/w1/  2.50  23.230  20.400 
2nwv/w1/  3.00  24.490  18.000 
2nwv/w1/  3.50  21.740  15.100 
2nwv/w1/  4.00  19.230  12.600 
2nwv/w1/  4.50  16.200  10.600 
2nwv/w1/  5.00  14.850   9.100 
2nwv/w1/  5.50  12.090   7.900 
2nwv/w1/  6.00  10.480   7.000 
2nwv/w2/  1.90  15.180  -1.000 
2nwv/w2/  2.50  20.690  18.900 
2nwv/w2/  3.00  22.680  17.000 
2nwv/w2/  3.50  20.910  14.400 
2nwv/w2/  4.00  18.690  12.100 
2nwv/w2/  4.50  16.060  10.100 
2nwv/w2/  5.00  14.310   8.600 
2nwv/w2/  5.50  11.600   7.500 
2nwv/w2/  6.00  10.130   6.600 
2nwv/w3/  1.95  -0.040  -1.000 
2nwv/w3/  2.50   1.160   2.500 
2nwv/w3/  3.00   1.690   2.600 
2nwv/w3/  3.50   2.010   2.400 
2nwv/w3/  4.00   1.120   2.100 
2nwv/w3/  4.50   0.860   1.800 
2nwv/w3/  5.00   0.260   1.500 
2nwv/w3/  5.50   0.280   1.300 
2nwv/w3/  6.00   1.040   1.200 
2o08/w1/  1.90   2.650   3.100 
2o08/w1/  2.50   3.590   3.400 
2o08/w1/  3.00   3.880   3.400 
2o08/w1/  3.50   3.910   3.100 
2o08/w1/  4.00   3.710   2.600 
2o08/w1/  4.50   3.010   2.200 
2o08/w1/  5.00   3.070   1.900 
2o08/w1/  5.50   2.730   1.700 
2o08/w1/  6.00   2.260   1.600 
2o08/w2/  2.47   9.520  -1.000 
2o08/w2/  2.50   9.590  12.100 
2o08/w2/  3.00  10.520  11.700 
2o08/w2/  3.50  10.790  10.400 
2o08/w2/  4.00   9.560   8.800 
2o08/w2/  4.50   8.040   7.500 
2o08/w2/  5.00   7.200   6.400 
2o08/w2/  5.50   6.350   5.700 
2o08/w2/  6.00   5.760   5.100 
2o08/w3/  2.47  13.010  -1.000 
2o08/w3/  2.50  13.060  11.900 
2o08/w3/  3.00  13.570  11.200 
2o08/w3/  3.50  13.010  10.100 
2o08/w3/  4.00  11.250   8.600 
2o08/w3/  4.50   9.420   7.300 
2o08/w3/  5.00   8.220   6.300 
2o08/w3/  5.50   7.130   5.600 
2o08/w3/  6.00   6.490   5.100 
2o08/w4/  2.46  11.110  -1.000 
2o08/w4/  2.50  11.070  12.500 
2o08/w4/  3.00  11.830  12.100 
2o08/w4/  3.50  11.590  10.800 
2o08/w4/  4.00  10.180   9.100 
2o08/w4/  4.50   8.650   7.800 
2o08/w4/  5.00   7.660   6.700 
2o08/w4/  5.50   6.630   5.900 
2o08/w4/  6.00   5.960   5.300 
2o1q/w1/  1.50   2.650   3.000 
2o1q/w1/  2.00   3.050   3.300 
2o1q/w1/  2.50   2.640   3.100 
2o1q/w1/  3.00   2.360   2.800 
2o1q/w1/  3.50   1.940   2.400 
2o1q/w1/  4.00   1.580   2.000 
2o1q/w1/  4.50   1.310   1.600 
2o1q/w1/  5.00   1.030   1.400 
2o1q/w1/  5.50   0.730   1.200 
2o1q/w1/  6.00   0.600   1.100 
2o1q/w2/  2.00  10.370  15.200 
2o1q/w2/  2.50  11.050  14.600 
2o1q/w2/  3.00  10.640  12.900 
2o1q/w2/  3.50   8.860  10.800 
2o1q/w2/  4.00   7.570   9.000 
2o1q/w2/  4.50   6.410   7.600 
2o1q/w2/  5.00   5.250   6.400 
2o1q/w2/  5.50   4.420   5.600 
2o1q/w2/  6.00   3.710   5.000 
2o1q/w3/  2.00  14.230  14.500 
2o1q/w3/  2.50  13.910  14.300 
2o1q/w3/  3.00  12.470  12.800 
2o1q/w3/  3.50  10.160  10.800 
2o1q/w3/  4.00   8.350   9.000 
2o1q/w3/  4.50   6.900   7.600 
2o1q/w3/  5.00   5.520   6.400 
2o1q/w3/  5.50   4.500   5.600 
2o1q/w3/  6.00   3.800   5.000 
2o1q/w4/  2.00  10.920  14.800 
2o1q/w4/  2.50  11.970  14.300 
2o1q/w4/  3.00  10.970  12.600 
2o1q/w4/  3.50   9.100  10.600 
2o1q/w4/  4.00   7.810   8.900 
2o1q/w4/  4.50   6.570   7.500 
2o1q/w4/  5.00   5.310   6.400 
2o1q/w4/  5.50   4.470   5.600 
2o1q/w4/  6.00   3.710   4.900 
2o2x/w1/  1.50  28.390  28.000 
2o2x/w1/  2.00  27.860  24.200 
2o2x/w1/  2.50  21.960  18.900 
2o2x/w1/  3.00  17.320  14.900 
2o2x/w1/  3.50  13.270  12.100 
2o2x/w1/  4.00  11.520   9.900 
2o2x/w1/  4.50   9.540   8.300 
2o2x/w1/  5.00   7.840   7.100 
2o2x/w1/  5.50   6.800   6.200 
2o2x/w1/  6.00   5.980   5.500 
2o2x/w2/  1.50  27.960  27.400 
2o2x/w2/  2.00  26.870  23.300 
2o2x/w2/  2.50  21.200  18.200 
2o2x/w2/  3.00  16.800  14.400 
2o2x/w2/  3.50  12.750  11.600 
2o2x/w2/  4.00  11.180   9.600 
2o2x/w2/  4.50   9.200   8.100 
2o2x/w2/  5.00   7.490   6.900 
2o2x/w2/  5.50   6.440   6.000 
2o2x/w2/  6.00   5.540   5.300 
2o2z/w1/  2.60  15.530  13.700 
2o2z/w1/  3.00  17.400  13.700 
2o2z/w1/  3.50  17.850  12.600 
2o2z/w1/  4.00  16.060  10.800 
2o2z/w1/  4.50  14.060   9.200 
2o2z/w1/  5.00  12.080   7.900 
2o2z/w1/  5.50  10.180   6.900 
2o2z/w1/  6.00   8.810   6.200 
2o3l/w1/  2.05  12.400  -1.000 
2o3l/w1/  2.50  11.770  12.400 
2o3l/w1/  3.00   9.700  10.100 
2o3l/w1/  3.50   7.730   8.200 
2o3l/w1/  4.00   6.420   6.800 
2o3l/w1/  4.50   5.420   5.700 
2o3l/w1/  5.00   4.370   4.800 
2o3l/w1/  5.50   3.840   4.200 
2o3l/w1/  6.00   3.520   3.700 
2o3l/w2/  2.00   8.920  15.000 
2o3l/w2/  2.50   9.850  12.700 
2o3l/w2/  3.00   8.770  10.300 
2o3l/w2/  3.50   7.170   8.300 
2o3l/w2/  4.00   6.080   6.900 
2o3l/w2/  4.50   5.260   5.700 
2o3l/w2/  5.00   4.260   4.900 
2o3l/w2/  5.50   3.780   4.300 
2o3l/w2/  6.00   3.480   3.700 
2o3l/w3/  2.00  10.740  14.900 
2o3l/w3/  2.50  11.060  12.600 
2o3l/w3/  3.00   9.300  10.200 
2o3l/w3/  3.50   7.560   8.300 
2o3l/w3/  4.00   6.340   6.800 
2o3l/w3/  4.50   5.360   5.700 
2o3l/w3/  5.00   4.320   4.900 
2o3l/w3/  5.50   3.740   4.200 
2o3l/w3/  6.00   3.340   3.700 
2o62/w1/  1.75  26.190  19.600 
2o62/w1/  2.50  28.740  17.600 
2o62/w1/  3.00  26.090  15.700 
2o62/w1/  3.50  22.630  13.300 
2o62/w1/  4.00  19.150  11.200 
2o62/w1/  4.50  16.150   9.300 
2o62/w1/  5.00  14.190   7.800 
2o62/w1/  5.50  12.150   6.800 
2o62/w1/  6.00  10.550   6.000 
2o7t/w1/  2.10   8.830  16.200 
2o7t/w1/  2.50  11.100  16.000 
2o7t/w1/  3.00  11.850  14.300 
2o7t/w1/  3.50  10.600  12.000 
2o7t/w1/  4.00   9.610  10.000 
2o7t/w1/  4.50   8.200   8.400 
2o7t/w1/  5.00   7.210   7.100 
2o7t/w1/  5.50   6.470   6.300 
2o7t/w1/  6.00   5.900   5.700 
2o7t/w2/  2.10  11.370  17.500 
2o7t/w2/  2.50  13.410  16.600 
2o7t/w2/  3.00  13.320  14.700 
2o7t/w2/  3.50  11.760  12.300 
2o7t/w2/  4.00  10.470  10.200 
2o7t/w2/  4.50   8.690   8.500 
2o7t/w2/  5.00   7.400   7.300 
2o7t/w2/  5.50   6.350   6.400 
2o7t/w2/  6.00   5.670   5.700 
2o8q/w1/  1.55  39.260  -1.000 
2o8q/w1/  2.00  47.690  -1.000 
2o8q/w1/  2.50  43.160  -1.000 
2o8q/w1/  3.00  35.410  -1.000 
2o8q/w1/  3.50  29.040  -1.000 
2o8q/w1/  4.00  23.680  -1.000 
2o8q/w1/  4.50  20.290  -1.000 
2o8q/w1/  5.00  15.460  -1.000 
2o8q/w1/  5.50  13.750  -1.000 
2o8q/w1/  6.00  12.330  -1.000 
2o8q/w2/  2.48  11.850  -1.000 
2o8q/w2/  2.50  11.710  13.500 
2o8q/w2/  3.00  12.090  13.400 
2o8q/w2/  3.50  11.320  11.800 
2o8q/w2/  4.00  10.360  10.200 
2o8q/w2/  4.50   8.640   8.700 
2o8q/w2/  5.00   7.160   7.500 
2o8q/w2/  5.50   6.330   6.500 
2o8q/w2/  6.00   5.710   5.800 
2o8q/w3/  2.48  11.530  -1.000 
2o8q/w3/  2.50  11.460  13.500 
2o8q/w3/  3.00  11.650  13.200 
2o8q/w3/  3.50  10.980  11.700 
2o8q/w3/  4.00   9.960  10.000 
2o8q/w3/  4.50   8.490   8.600 
2o8q/w3/  5.00   7.360   7.300 
2o8q/w3/  5.50   6.450   6.400 
2o8q/w3/  6.00   5.780   5.700 
2o8q/w4/  2.48   9.610  -1.000 
2o8q/w4/  2.50   9.530  13.300 
2o8q/w4/  3.00   9.840  13.000 
2o8q/w4/  3.50   9.530  11.400 
2o8q/w4/  4.00   9.090   9.800 
2o8q/w4/  4.50   7.740   8.400 
2o8q/w4/  5.00   6.720   7.200 
2o8q/w4/  5.50   6.100   6.300 
2o8q/w4/  6.00   5.580   5.600 
2obp/w1/  1.70  26.050  34.900 
2obp/w1/  2.00  30.060  32.100 
2obp/w1/  2.50  29.250  25.300 
2obp/w1/  3.00  25.390  19.900 
2obp/w1/  3.50  21.900  15.900 
2obp/w1/  4.00  18.040  13.100 
2obp/w1/  4.50  15.300  11.000 
2obp/w1/  5.00  12.760   9.400 
2obp/w1/  5.50  11.880   8.100 
2obp/w1/  6.00  10.370   7.200 
2obp/w2/  1.70  27.880  35.900 
2obp/w2/  2.00  30.350  32.700 
2obp/w2/  2.50  27.950  25.600 
2obp/w2/  3.00  24.230  20.000 
2obp/w2/  3.50  20.760  16.000 
2obp/w2/  4.00  16.750  13.200 
2obp/w2/  4.50  14.490  11.100 
2obp/w2/  5.00  12.020   9.400 
2obp/w2/  5.50  11.110   8.200 
2obp/w2/  6.00   9.620   7.200 
2obp/w3/  1.70  32.000  35.700 
2obp/w3/  2.00  33.120  32.700 
2obp/w3/  2.50  28.910  25.700 
2obp/w3/  3.00  24.810  20.100 
2obp/w3/  3.50  20.680  16.100 
2obp/w3/  4.00  16.450  13.200 
2obp/w3/  4.50  13.920  11.100 
2obp/w3/  5.00  11.450   9.500 
2obp/w3/  5.50  10.490   8.200 
2obp/w3/  6.00   9.140   7.300 
2oc5/w1/  1.68  27.290  20.900 
2oc5/w1/  2.00  29.360  20.300 
2oc5/w1/  2.50  24.660  16.600 
2oc5/w1/  3.00  19.720  13.300 
2oc5/w1/  3.50  15.730  10.800 
2oc5/w1/  4.00  13.380   9.000 
2oc5/w1/  4.50  11.480   7.600 
2oc5/w1/  5.00   9.910   6.500 
2oc5/w1/  5.50   8.240   5.600 
2oc5/w1/  6.00   7.100   5.000 
2oc5/w2/  1.68  34.140  22.200 
2oc5/w2/  2.00  34.550  21.200 
2oc5/w2/  2.50  27.320  17.100 
2oc5/w2/  3.00  21.430  13.600 
2oc5/w2/  3.50  16.690  11.000 
2oc5/w2/  4.00  13.770   9.100 
2oc5/w2/  4.50  11.510   7.700 
2oc5/w2/  5.00   9.680   6.600 
2oc5/w2/  5.50   8.090   5.700 
2oc5/w2/  6.00   6.940   5.100 
2oc5/w3/  1.68  36.740  21.800 
2oc5/w3/  2.00  36.680  21.000 
2oc5/w3/  2.50  28.050  17.000 
2oc5/w3/  3.00  21.770  13.500 
2oc5/w3/  3.50  16.850  11.000 
2oc5/w3/  4.00  13.870   9.100 
2oc5/w3/  4.50  11.430   7.700 
2oc5/w3/  5.00   9.710   6.600 
2oc5/w3/  5.50   8.150   5.700 
2oc5/w3/  6.00   7.060   5.000 
2od5/w1/  1.79  13.100  -1.000 
2od5/w1/  2.00  15.020  20.200 
2od5/w1/  2.50  17.630  18.300 
2od5/w1/  3.00  16.630  15.300 
2od5/w1/  3.50  14.990  12.500 
2od5/w1/  4.00  11.180  10.300 
2od5/w1/  4.50   9.620   8.600 
2od5/w1/  5.00   8.040   7.300 
2od5/w1/  5.50   7.100   6.300 
2od5/w1/  6.00   5.970   5.500 
2od5/w2/  1.85  12.990  -1.000 
2od5/w2/  2.00  14.310  20.800 
2od5/w2/  2.50  17.470  18.700 
2od5/w2/  3.00  16.890  15.600 
2od5/w2/  3.50  14.980  12.700 
2od5/w2/  4.00  11.380  10.400 
2od5/w2/  4.50   9.720   8.700 
2od5/w2/  5.00   8.020   7.400 
2od5/w2/  5.50   7.070   6.400 
2od5/w2/  6.00   6.010   5.600 
2od6/w1/  1.85  13.090  -1.000 
2od6/w1/  2.50  12.810  13.600 
2od6/w1/  3.00  10.560  11.100 
2od6/w1/  3.50   9.000   9.000 
2od6/w1/  4.00   7.260   7.400 
2od6/w1/  4.50   5.820   6.300 
2od6/w1/  5.00   4.760   5.300 
2od6/w1/  5.50   3.980   4.600 
2od6/w1/  6.00   3.450   4.100 
2od6/w2/  1.90  14.300  -1.000 
2od6/w2/  2.50  12.910  13.800 
2od6/w2/  3.00  10.290  11.300 
2od6/w2/  3.50   8.490   9.200 
2od6/w2/  4.00   6.680   7.600 
2od6/w2/  4.50   5.140   6.400 
2od6/w2/  5.00   3.890   5.400 
2od6/w2/  5.50   3.160   4.700 
2od6/w2/  6.00   2.650   4.200 
2od6/w3/  1.90  12.490  -1.000 
2od6/w3/  2.50  12.270  13.400 
2od6/w3/  3.00  10.230  11.000 
2od6/w3/  3.50   8.710   9.000 
2od6/w3/  4.00   7.010   7.400 
2od6/w3/  4.50   5.640   6.200 
2od6/w3/  5.00   4.560   5.300 
2od6/w3/  5.50   3.850   4.600 
2od6/w3/  6.00   3.280   4.100 
2oh3/w1/  2.00   8.710  18.400 
2oh3/w1/  2.50  10.270  16.300 
2oh3/w1/  3.00   9.370  13.500 
2oh3/w1/  3.50   8.160  11.000 
2oh3/w1/  4.00   6.400   9.100 
2oh3/w1/  4.50   5.120   7.700 
2oh3/w1/  5.00   4.610   6.600 
2oh3/w1/  5.50   4.170   5.700 
2oh3/w1/  6.00   3.830   5.000 
2oh3/w2/  2.00   9.830  18.800 
2oh3/w2/  2.50  10.910  16.600 
2oh3/w2/  3.00   9.580  13.600 
2oh3/w2/  3.50   8.030  11.100 
2oh3/w2/  4.00   6.400   9.200 
2oh3/w2/  4.50   5.110   7.700 
2oh3/w2/  5.00   4.460   6.600 
2oh3/w2/  5.50   4.090   5.800 
2oh3/w2/  6.00   3.650   5.100 
2okc/w1/  2.20   7.080  16.700 
2okc/w1/  2.50   8.290  16.400 
2okc/w1/  3.00   8.890  14.700 
2okc/w1/  3.50   8.220  12.500 
2okc/w1/  4.00   7.120  10.500 
2okc/w1/  4.50   5.980   8.800 
2okc/w1/  5.00   5.170   7.600 
2okc/w1/  5.50   4.460   6.600 
2okc/w1/  6.00   4.030   5.800 
2okc/w2/  2.21   9.060  -1.000 
2okc/w2/  2.50   9.910  17.700 
2okc/w2/  3.00   9.600  15.500 
2okc/w2/  3.50   8.390  12.900 
2okc/w2/  4.00   7.050  10.800 
2okc/w2/  4.50   5.740   9.100 
2okc/w2/  5.00   4.820   7.800 
2okc/w2/  5.50   4.130   6.800 
2okc/w2/  6.00   3.710   6.000 
2okc/w3/  2.21   6.800  -1.000 
2okc/w3/  2.50   7.810  16.900 
2okc/w3/  3.00   8.710  15.000 
2okc/w3/  3.50   8.170  12.600 
2okc/w3/  4.00   7.160  10.600 
2okc/w3/  4.50   6.070   8.900 
2okc/w3/  5.00   5.240   7.600 
2okc/w3/  5.50   4.500   6.600 
2okc/w3/  6.00   4.030   5.900 
2okf/w1/  1.60  30.620  30.500 
2okf/w1/  2.00  37.430  28.700 
2okf/w1/  2.50  34.250  22.900 
2okf/w1/  3.00  27.960  18.400 
2okf/w1/  3.50  23.400  15.000 
2okf/w1/  4.00  20.210  12.400 
2okf/w1/  4.50  17.580  10.400 
2okf/w1/  5.00  14.700   8.900 
2okf/w1/  5.50  12.940   7.700 
2okf/w1/  6.00  10.590   6.800 
2okf/w2/  1.60  34.140  33.500 
2okf/w2/  2.00  41.260  31.100 
2okf/w2/  2.50  36.580  24.700 
2okf/w2/  3.00  30.430  19.700 
2okf/w2/  3.50  24.910  15.900 
2okf/w2/  4.00  21.520  13.200 
2okf/w2/  4.50  18.220  11.100 
2okf/w2/  5.00  15.050   9.500 
2okf/w2/  5.50  13.600   8.200 
2okf/w2/  6.00  11.180   7.300 
2okf/w3/  1.60  40.030  33.500 
2okf/w3/  2.00  45.670  31.500 
2okf/w3/  2.50  39.300  25.100 
2okf/w3/  3.00  32.200  20.000 
2okf/w3/  3.50  26.010  16.300 
2okf/w3/  4.00  22.000  13.500 
2okf/w3/  4.50  18.210  11.300 
2okf/w3/  5.00  14.720   9.700 
2okf/w3/  5.50  13.140   8.400 
2okf/w3/  6.00  10.770   7.400 
2ooj/w1/  1.84  12.120  15.200 
2ooj/w1/  2.50  11.090  13.300 
2ooj/w1/  3.00   9.410  11.100 
2ooj/w1/  3.50   7.570   9.100 
2ooj/w1/  4.00   6.240   7.500 
2ooj/w1/  4.50   5.240   6.300 
2ooj/w1/  5.00   4.610   5.400 
2ooj/w1/  5.50   3.930   4.600 
2ooj/w1/  6.00   3.400   4.100 
2opk/w1/  2.10  10.730  11.200 
2opk/w1/  2.50  11.830  11.500 
2opk/w1/  3.00  12.230  11.000 
2opk/w1/  3.50  11.750   9.600 
2opk/w1/  4.00  10.250   8.100 
2opk/w1/  4.50   9.550   6.800 
2opk/w1/  5.00   8.280   5.700 
2opk/w1/  5.50   7.360   4.900 
2opk/w1/  6.00   6.450   4.400 
2opk/w2/  2.10  13.770  11.200 
2opk/w2/  2.50  14.520  11.500 
2opk/w2/  3.00  14.570  11.100 
2opk/w2/  3.50  13.960   9.800 
2opk/w2/  4.00  12.200   8.300 
2opk/w2/  4.50  10.960   7.000 
2opk/w2/  5.00   9.410   5.800 
2opk/w2/  5.50   8.270   5.100 
2opk/w2/  6.00   7.240   4.500 
2opk/w3/  2.10  11.790  11.600 
2opk/w3/  2.50  12.560  11.700 
2opk/w3/  3.00  12.900  11.200 
2opk/w3/  3.50  12.280   9.900 
2opk/w3/  4.00  10.700   8.300 
2opk/w3/  4.50   9.700   7.000 
2opk/w3/  5.00   8.240   5.800 
2opk/w3/  5.50   7.240   5.100 
2opk/w3/  6.00   6.250   4.500 
2osd/w1/  2.30  10.820  15.500 
2osd/w1/  3.00  13.580  13.900 
2osd/w1/  3.50  13.250  11.900 
2osd/w1/  4.00  11.670  10.000 
2osd/w1/  4.50   9.550   8.400 
2osd/w1/  5.00   8.310   7.200 
2osd/w1/  5.50   7.320   6.200 
2osd/w1/  6.00   6.440   5.600 
2osd/w2/  2.30  14.310  15.800 
2osd/w2/  3.00  15.690  14.100 
2osd/w2/  3.50  14.450  12.100 
2osd/w2/  4.00  12.410  10.100 
2osd/w2/  4.50   9.930   8.600 
2osd/w2/  5.00   8.640   7.300 
2osd/w2/  5.50   7.460   6.400 
2osd/w2/  6.00   6.580   5.700 
2osd/w3/  2.30  10.400  15.700 
2osd/w3/  3.00  12.640  14.000 
2osd/w3/  3.50  12.540  12.000 
2osd/w3/  4.00  11.250  10.100 
2osd/w3/  4.50   9.210   8.500 
2osd/w3/  5.00   8.250   7.200 
2osd/w3/  5.50   7.170   6.300 
2osd/w3/  6.00   6.290   5.600 
2otm/w1/  1.85  13.310  13.900 
2otm/w1/  2.50  15.140  13.100 
2otm/w1/  3.00  13.880  11.500 
2otm/w1/  3.50  11.680   9.600 
2otm/w1/  4.00  10.100   8.000 
2otm/w1/  4.50   8.650   6.700 
2otm/w1/  5.00   7.540   5.700 
2otm/w1/  5.50   6.420   5.000 
2otm/w1/  6.00   5.870   4.400 
2otm/w2/  1.85  13.110  14.700 
2otm/w2/  2.50  14.430  13.800 
2otm/w2/  3.00  13.410  12.100 
2otm/w2/  3.50  11.220  10.100 
2otm/w2/  4.00   9.720   8.300 
2otm/w2/  4.50   8.360   7.000 
2otm/w2/  5.00   7.060   5.900 
2otm/w2/  5.50   5.980   5.100 
2otm/w2/  6.00   5.370   4.600 
2otm/w3/  1.90  15.140  -1.000 
2otm/w3/  2.50  16.700  13.700 
2otm/w3/  3.00  15.080  12.100 
2otm/w3/  3.50  12.520  10.200 
2otm/w3/  4.00  10.670   8.500 
2otm/w3/  4.50   9.090   7.100 
2otm/w3/  5.00   7.710   6.000 
2otm/w3/  5.50   6.550   5.200 
2otm/w3/  6.00   5.860   4.600 
2ozg/w1/  2.00  17.690  14.600 
2ozg/w1/  2.50  20.480  15.400 
2ozg/w1/  3.00  19.600  14.300 
2ozg/w1/  3.50  16.980  12.300 
2ozg/w1/  4.00  14.180  10.300 
2ozg/w1/  4.50  11.900   8.700 
2ozg/w1/  5.00  10.790   7.500 
2ozg/w1/  5.50   9.360   6.700 
2ozg/w1/  6.00   8.420   6.000 
2ozg/w2/  2.05   8.230  -1.000 
2ozg/w2/  2.50  10.350  17.900 
2ozg/w2/  3.00  10.110  16.100 
2ozg/w2/  3.50   9.270  13.500 
2ozg/w2/  4.00   7.780  11.300 
2ozg/w2/  4.50   6.720   9.500 
2ozg/w2/  5.00   6.390   8.100 
2ozg/w2/  5.50   5.880   7.200 
2ozg/w2/  6.00   5.400   6.400 
2ozg/w3/  2.05  23.310  -1.000 
2ozg/w3/  2.50  25.190  16.400 
2ozg/w3/  3.00  23.490  15.200 
2ozg/w3/  3.50  19.760  13.000 
2ozg/w3/  4.00  16.240  10.900 
2ozg/w3/  4.50  13.130   9.200 
2ozg/w3/  5.00  11.570   7.900 
2ozg/w3/  5.50   9.890   6.900 
2ozg/w3/  6.00   8.850   6.200 
2ozj/w1/  1.60  16.370  28.400 
2ozj/w1/  2.00  17.800  25.100 
2ozj/w1/  2.50  15.360  19.400 
2ozj/w1/  3.00  12.460  15.200 
2ozj/w1/  3.50   9.850  12.200 
2ozj/w1/  4.00   8.160  10.000 
2ozj/w1/  4.50   6.380   8.400 
2ozj/w1/  5.00   5.550   7.100 
2ozj/w1/  5.50   4.820   6.200 
2ozj/w1/  6.00   4.040   5.400 
2ozj/w2/  1.60  10.200  29.600 
2ozj/w2/  2.00  12.790  25.700 
2ozj/w2/  2.50  12.930  19.700 
2ozj/w2/  3.00  11.160  15.400 
2ozj/w2/  3.50   9.070  12.300 
2ozj/w2/  4.00   7.810  10.100 
