Total of 187 directories 
     key    d_min   signal pred_signal
1vlm/w2/  5.50   7.260   5.500 
1vlm/w2/  6.00   6.610   4.900 
1vlm/w3/  2.79   7.630  -1.000 
1vlm/w3/  3.00   8.170   9.100 
1vlm/w3/  3.50   9.420   8.700 
1vlm/w3/  4.00   9.750   7.800 
1vlm/w3/  4.50   9.130   6.800 
1vlm/w3/  5.00   8.260   5.900 
1vlm/w3/  5.50   7.140   5.200 
1vlm/w3/  6.00   6.640   4.700 
1vqr/w1/  2.25  14.240  13.800 
1vqr/w1/  3.00  13.580  12.000 
1vqr/w1/  3.50  12.470  10.500 
1vqr/w1/  4.00  10.910   8.900 
1vqr/w1/  4.50  10.010   7.600 
1vqr/w1/  5.00   8.640   6.500 
1vqr/w1/  5.50   7.590   5.700 
1vqr/w1/  6.00   6.700   5.100 
1z82/w1/  2.00   8.940  15.100 
1z82/w1/  2.50  10.700  13.900 
1z82/w1/  3.00  10.620  12.100 
1z82/w1/  3.50   9.400  10.200 
1z82/w1/  4.00   8.020   8.600 
1z82/w1/  4.50   6.880   7.300 
1z82/w1/  5.00   6.080   6.300 
1z82/w1/  5.50   5.540   5.500 
1z82/w1/  6.00   4.950   5.000 
1z82/w2/  2.00  12.780  16.900 
1z82/w2/  2.50  13.130  15.200 
1z82/w2/  3.00  11.530  12.900 
1z82/w2/  3.50   9.510  10.700 
1z82/w2/  4.00   7.760   9.000 
1z82/w2/  4.50   6.390   7.600 
1z82/w2/  5.00   5.540   6.500 
1z82/w2/  5.50   4.850   5.700 
1z82/w2/  6.00   4.160   5.100 
1zy9/w1/  2.34   6.300   8.600 
1zy9/w1/  3.00   7.950   8.700 
1zy9/w1/  3.50   7.870   8.000 
1zy9/w1/  4.00   7.810   7.000 
1zy9/w1/  4.50   7.520   6.000 
1zy9/w1/  5.00   6.810   5.200 
1zy9/w1/  5.50   6.610   4.600 
1zy9/w1/  6.00   5.950   4.200 
1zy9/w2/  2.37   7.660  -1.000 
1zy9/w2/  3.00   8.990   7.700 
1zy9/w2/  3.50   9.580   7.200 
1zy9/w2/  4.00   9.360   6.400 
1zy9/w2/  4.50   9.050   5.400 
1zy9/w2/  5.00   8.150   4.700 
1zy9/w2/  5.50   7.850   4.200 
1zy9/w2/  6.00   7.030   3.800 
1zy9/w3/  2.99   7.870  -1.000 
1zy9/w3/  3.00   7.890   7.400 
1zy9/w3/  3.50   9.170   7.400 
1zy9/w3/  4.00   9.650   6.800 
1zy9/w3/  4.50   9.430   6.000 
1zy9/w3/  5.00   8.470   5.300 
1zy9/w3/  5.50   8.040   4.800 
1zy9/w3/  6.00   7.410   4.500 
1zyb/w1/  2.10   8.820  19.500 
1zyb/w1/  2.50  12.030  18.700 
1zyb/w1/  3.00  13.420  16.100 
1zyb/w1/  3.50  13.270  13.300 
1zyb/w1/  4.00  11.750  11.000 
