Total of 228 directories 
cc_perfect cc_st_square    skew       e
  0.080  -1.000   0.018   0.801
  0.071  -1.000   0.077   0.579
  0.301  -1.000   0.017   0.721
  0.317  -1.000   0.020   0.845
  0.045  -1.000  -0.002   0.972
  0.272  -1.000   0.000   0.587
  0.346  -1.000   0.013   0.307
  0.240  -1.000   0.022   0.619
  0.223  -1.000   0.029   0.611
  0.183  -1.000  -0.005   0.568
  0.423  -1.000   0.069   0.441
  0.487  -1.000   0.043   0.452
  0.375  -1.000   0.052   0.817
  0.424  -1.000   0.011   0.500
  0.368  -1.000   0.012   0.637
  0.319  -1.000   0.003   0.594
  0.317  -1.000   0.028   0.486
  0.390  -1.000   0.029   0.568
  0.526  -1.000   0.059   0.401
  0.274  -1.000   0.015   0.648
  0.481  -1.000   0.014   0.337
  0.261  -1.000   0.003   0.835
  0.324  -1.000   0.051   0.659
  0.347  -1.000   0.011   0.709
  0.304  -1.000   0.025   0.603
  0.385  -1.000   0.033   0.295
  0.037  -1.000   0.040   0.991
  0.305  -1.000   0.026   0.755
  0.448  -1.000   0.046   0.699
  0.247  -1.000  -0.011   0.739
  0.105  -1.000   0.001   0.661
  0.491  -1.000   0.049   0.486
  0.338  -1.000  -0.003   0.648
  0.385  -1.000   0.049   0.809
  0.218  -1.000  -0.002   0.679
  0.544  -1.000   0.049   0.477
  0.345  -1.000   0.029   0.643
