Total of 228 directories 
     key    d_min fraction_found  Signal
1vlm/w2/  6.00   0.250   6.610 
1vlm/w3/  2.79   1.000   7.630 
1vlm/w3/  3.00   0.125   8.170 
1vlm/w3/  3.50   0.125   9.420 
1vlm/w3/  4.00   0.000   9.750 
1vlm/w3/  4.50   0.000   9.130 
1vlm/w3/  5.00   0.000   8.260 
1vlm/w3/  5.50   0.000   7.140 
1vlm/w3/  6.00   0.250   6.640 
1vqr/w1/  2.25   0.952  14.240 
1vqr/w1/  3.00   0.952  13.580 
1vqr/w1/  3.50   0.905  12.470 
1vqr/w1/  4.00   0.952  10.910 
1vqr/w1/  4.50   0.952  10.010 
1vqr/w1/  5.00   0.952   8.640 
1vqr/w1/  5.50   0.048   7.590 
1vqr/w1/  6.00   0.048   6.700 
1xri/w1/  3.49   1.000  16.240 
1xri/w1/  4.00   1.000  14.810 
1xri/w1/  4.50   0.833  13.440 
1xri/w1/  5.00   1.000  11.660 
1xri/w1/  5.50   1.000  10.670 
1xri/w1/  6.00   0.833   9.570 
1y7e/w1/  3.20   1.000  15.970 
1y7e/w1/  3.50   1.000  15.740 
1y7e/w1/  4.00   1.000  13.860 
1y7e/w1/  4.50   1.000  11.740 
1y7e/w1/  5.00   1.000  10.510 
1y7e/w1/  5.50   1.000   9.070 
1y7e/w1/  6.00   0.000   8.160 
1z82/w1/  2.00   0.045   8.940 
1z82/w1/  2.50   0.136  10.700 
1z82/w1/  3.00   0.909  10.620 
1z82/w1/  3.50   0.864   9.400 
1z82/w1/  4.00   0.045   8.020 
1z82/w1/  4.50   0.091   6.880 
1z82/w1/  5.00   0.136   6.080 
1z82/w1/  5.50   0.136   5.540 
1z82/w1/  6.00   0.136   4.950 
1z82/w2/  2.00   1.000  12.780 
1z82/w2/  2.50   1.000  13.130 
1z82/w2/  3.00   0.955  11.530 
1z82/w2/  3.50   0.955   9.510 
1z82/w2/  4.00   0.909   7.760 
1z82/w2/  4.50   0.909   6.390 
1z82/w2/  5.00   0.318   5.540 
1z82/w2/  5.50   0.182   4.850 
1z82/w2/  6.00   0.045   4.160 
1zy9/w1/  2.34   0.111   6.300 
1zy9/w1/  3.00   0.000   7.950 
1zy9/w1/  3.50   0.000   7.870 
1zy9/w1/  4.00   0.000   7.810 
1zy9/w1/  4.50   0.111   7.520 
1zy9/w1/  5.00   0.111   6.810 
1zy9/w1/  5.50   0.000   6.610 
1zy9/w1/  6.00   0.111   5.950 
1zy9/w2/  2.37   0.111   7.660 
1zy9/w2/  3.00   0.000   8.990 
1zy9/w2/  3.50   0.000   9.580 
1zy9/w2/  4.00   0.000   9.360 
1zy9/w2/  4.50   0.000   9.050 
1zy9/w2/  5.00   0.000   8.150 
1zy9/w2/  5.50   0.000   7.850 
1zy9/w2/  6.00   0.000   7.030 
1zy9/w3/  2.99   0.000   7.870 
1zy9/w3/  3.00   0.000   7.890 
1zy9/w3/  3.50   0.000   9.170 
1zy9/w3/  4.00   0.000   9.650 
1zy9/w3/  4.50   0.000   9.430 
1zy9/w3/  5.00   0.000   8.470 
1zy9/w3/  5.50   0.111   8.040 
1zy9/w3/  6.00   0.111   7.410 
1zyb/w1/  2.10   1.000   8.820 
1zyb/w1/  2.50   0.000  12.030 
1zyb/w1/  3.00   1.000  13.420 
1zyb/w1/  3.50   1.000  13.270 
1zyb/w1/  4.00   0.000  11.750 
1zyb/w1/  4.50   0.000  10.310 
1zyb/w1/  5.00   0.000   8.870 
1zyb/w1/  5.50   0.000   7.470 
1zyb/w1/  6.00   0.000   6.810 
1zyb/w2/  2.10   1.000  12.670 
1zyb/w2/  2.50   1.000  16.570 
1zyb/w2/  3.00   1.000  17.930 
1zyb/w2/  3.50   1.000  16.870 
1zyb/w2/  4.00   1.000  14.420 
1zyb/w2/  4.50   1.000  12.580 
1zyb/w2/  5.00   1.000  10.880 
1zyb/w2/  5.50   1.000   9.040 
1zyb/w2/  6.00   1.000   8.120 
2a2o/w1/  2.16  -0.024  22.740 
2a2o/w1/  2.50  -0.024  23.340 
2a2o/w1/  3.00  -0.024  21.270 
2a2o/w1/  3.50  -0.024  18.340 
2a2o/w1/  4.00  -0.024  15.550 
2a2o/w1/  4.50  -0.024  13.150 
2a2o/w1/  5.00  -0.024  11.330 
2a2o/w1/  5.50  -0.024   9.840 
2a2o/w1/  6.00  -0.024   8.600 
2a2o/w2/  2.16  -0.024  14.270 
2a2o/w2/  2.50  -0.024  15.170 
2a2o/w2/  3.00  -0.024  15.360 
2a2o/w2/  3.50  -0.024  14.390 
2a2o/w2/  4.00  -0.024  13.070 
2a2o/w2/  4.50  -0.024  11.620 
2a2o/w2/  5.00  -0.024  10.320 
2a2o/w2/  5.50  -0.024   9.200 
2a2o/w2/  6.00  -0.024   8.240 
2a3n/w1/  1.23   1.000  35.590 
2a3n/w1/  1.50   1.000  35.620 
2a3n/w1/  2.00   1.000  27.220 
2a3n/w1/  2.50   1.000  20.250 
2a3n/w1/  3.00   0.857  15.520 
2a3n/w1/  3.50   0.786  12.050 
2a3n/w1/  4.00   0.786   9.990 
2a3n/w1/  4.50   0.786   8.500 
2a3n/w1/  5.00   0.071   7.290 
2a3n/w1/  5.50   0.143   6.250 
2a3n/w1/  6.00   0.143   5.440 
2a3n/w2/  1.34   1.000  39.550 
2a3n/w2/  1.50   1.000  38.680 
2a3n/w2/  2.00   1.000  27.900 
2a3n/w2/  2.50   1.000  20.590 
2a3n/w2/  3.00   0.929  15.910 
2a3n/w2/  3.50   0.786  12.290 
2a3n/w2/  4.00   0.786  10.060 
2a3n/w2/  4.50   0.786   8.380 
2a3n/w2/  5.00   0.786   6.930 
2a3n/w2/  5.50   0.143   5.860 
2a3n/w2/  6.00   0.143   5.220 
2a3n/w3/  1.23   1.000  40.240 
2a3n/w3/  1.50   1.000  37.460 
2a3n/w3/  2.00   1.000  27.500 
2a3n/w3/  2.50   0.857  20.440 
2a3n/w3/  3.00   0.786  15.880 
2a3n/w3/  3.50   0.786  12.330 
2a3n/w3/  4.00   0.786  10.000 
2a3n/w3/  4.50   0.786   8.320 
2a3n/w3/  5.00   0.071   6.970 
2a3n/w3/  5.50   0.071   5.860 
2a3n/w3/  6.00   0.143   5.130 
2a6b/w1/  1.70   0.000   6.680 
2a6b/w1/  2.00   0.000   7.730 
2a6b/w1/  2.50   0.000   7.110 
2a6b/w1/  3.00   0.000   5.890 
2a6b/w1/  3.50   0.000   4.880 
2a6b/w1/  4.00   0.000   4.100 
2a6b/w1/  4.50   0.000   3.800 
2a6b/w1/  5.00   0.000   2.720 
2a6b/w1/  5.50   0.000   2.060 
2a6b/w1/  6.00   0.000   1.720 
2a6b/w2/  2.11   0.000  10.040 
2a6b/w2/  2.50   1.000  11.190 
2a6b/w2/  3.00   0.000  12.280 
2a6b/w2/  3.50   1.000  11.430 
2a6b/w2/  4.00   1.000  10.630 
2a6b/w2/  4.50   0.000   9.250 
2a6b/w2/  5.00   0.000   7.410 
2a6b/w2/  5.50   0.000   6.760 
2a6b/w2/  6.00   0.000   5.620 
2a6b/w3/  2.11   1.000  13.410 
2a6b/w3/  2.50   1.000  15.880 
2a6b/w3/  3.00   1.000  17.080 
2a6b/w3/  3.50   1.000  15.520 
2a6b/w3/  4.00   1.000  13.220 
2a6b/w3/  4.50   1.000  11.880 
2a6b/w3/  5.00   1.000   9.360 
2a6b/w3/  5.50   0.333   7.910 
2a6b/w3/  6.00   0.000   6.340 
2a6b/w4/  2.11   0.000   9.090 
2a6b/w4/  2.50   1.000  10.710 
