Total of 228 directories 
     key    d_min fraction_found  Signal
2fur/w1/  1.80   0.786  10.120 
2fur/w1/  2.50   0.786  11.520 
2fur/w1/  3.00   0.786  10.810 
2fur/w1/  3.50   0.714  10.260 
2fur/w1/  4.00   0.714   8.900 
2fur/w1/  4.50   0.714   7.890 
2fur/w1/  5.00   0.071   7.120 
2fur/w1/  5.50   0.000   6.300 
2fur/w1/  6.00   0.000   5.490 
2fur/w2/  1.80   0.143   1.390 
2fur/w2/  2.50   0.071   2.130 
2fur/w2/  3.00   0.071   2.360 
2fur/w2/  3.50   0.000   2.630 
2fur/w2/  4.00   0.071   2.680 
2fur/w2/  4.50   0.000   2.810 
2fur/w2/  5.00   0.000   3.010 
2fur/w2/  5.50   0.000   2.840 
2fur/w2/  6.00   0.000   2.540 
2fur/w3/  1.90   0.929  10.410 
2fur/w3/  2.50   0.929  12.550 
2fur/w3/  3.00   0.857  11.740 
2fur/w3/  3.50   0.786  10.870 
2fur/w3/  4.00   0.786   9.220 
2fur/w3/  4.50   0.786   7.770 
2fur/w3/  5.00   0.071   6.750 
2fur/w3/  5.50   0.071   5.890 
2fur/w3/  6.00   0.000   5.090 
2fzt/w1/  2.05   0.250  11.180 
2fzt/w1/  2.50   1.000  12.330 
2fzt/w1/  3.00   1.000  12.530 
2fzt/w1/  3.50   1.000  10.890 
2fzt/w1/  4.00   1.000   9.540 
2fzt/w1/  4.50   1.000   8.060 
2fzt/w1/  5.00   0.000   6.860 
2fzt/w1/  5.50   0.000   5.870 
2fzt/w1/  6.00   0.000   5.180 
2fzt/w2/  2.05   0.000   1.570 
2fzt/w2/  2.50   0.000   1.920 
2fzt/w2/  3.00   0.250   1.980 
2fzt/w2/  3.50   0.000   1.850 
2fzt/w2/  4.00   0.250   1.600 
2fzt/w2/  4.50   0.250   1.790 
2fzt/w2/  5.00   0.250   1.890 
2fzt/w2/  5.50   0.000   1.800 
2fzt/w2/  6.00   0.250   1.630 
2g0t/w1/  2.67   0.000  11.210 
2g0t/w1/  3.00   0.000  12.860 
2g0t/w1/  3.50   0.000  13.450 
2g0t/w1/  4.00   0.000  12.620 
2g0t/w1/  4.50   0.000  11.650 
2g0t/w1/  5.00   0.000  10.460 
2g0t/w1/  5.50   0.000   9.660 
2g0t/w1/  6.00   0.000   8.720 
2g0t/w2/  2.82   0.000   4.160 
2g0t/w2/  3.00   0.000   4.290 
2g0t/w2/  3.50   0.000   4.950 
2g0t/w2/  4.00   0.000   5.150 
2g0t/w2/  4.50   0.000   4.950 
2g0t/w2/  5.00   0.000   4.740 
2g0t/w2/  5.50   0.000   4.780 
2g0t/w2/  6.00   0.000   4.560 
2g0t/w3/  2.74   0.000   5.870 
2g0t/w3/  3.00   0.000   6.440 
2g0t/w3/  3.50   0.000   6.550 
2g0t/w3/  4.00   0.000   6.450 
2g0t/w3/  4.50   0.000   6.240 
2g0t/w3/  5.00   0.000   5.920 
2g0t/w3/  5.50   0.083   5.640 
2g0t/w3/  6.00   0.000   5.630 
2g42/w1/  2.28   1.000  11.200 
2g42/w1/  3.00   1.000  13.540 
2g42/w1/  3.50   1.000  12.270 
2g42/w1/  4.00   1.000  11.260 
2g42/w1/  4.50   1.000   9.440 
2g42/w1/  5.00   1.000   8.150 
2g42/w1/  5.50   1.000   7.180 
2g42/w1/  6.00   0.500   6.230 
2gc9/w1/  1.70   0.875   9.010 
2gc9/w1/  2.00   0.938  10.240 
2gc9/w1/  2.50   0.875  10.370 
2gc9/w1/  3.00   0.812  10.480 
2gc9/w1/  3.50   0.812   8.780 
2gc9/w1/  4.00   0.125   8.080 
2gc9/w1/  4.50   0.062   6.790 
2gc9/w1/  5.00   0.062   5.840 
2gc9/w1/  5.50   0.125   5.160 
2gc9/w1/  6.00   0.062   4.300 
2gc9/w2/  1.70   0.125   9.810 
2gc9/w2/  2.00   0.875  10.770 
2gc9/w2/  2.50   0.875  11.060 
2gc9/w2/  3.00   0.875  10.900 
2gc9/w2/  3.50   0.875   9.190 
2gc9/w2/  4.00   0.875   8.430 
2gc9/w2/  4.50   0.875   6.960 
2gc9/w2/  5.00   0.188   6.000 
2gc9/w2/  5.50   0.125   5.160 
2gc9/w2/  6.00   0.125   4.240 
2nlv/w1/  1.30   0.364   3.250 
2nlv/w1/  2.00   0.182   3.950 
2nlv/w1/  2.50   0.000   3.660 
2nlv/w1/  3.00   0.091   3.090 
2nlv/w1/  3.50   0.091   2.690 
2nlv/w1/  4.00   0.091   2.650 
2nlv/w1/  4.50   0.000   2.380 
2nlv/w1/  5.00   0.091   2.230 
2nlv/w1/  5.50   0.091   2.090 
2nlv/w1/  6.00   0.000   2.000 
2nlv/w2/  1.30   1.000  23.460 
2nlv/w2/  2.00   0.909  18.910 
2nlv/w2/  2.50   0.909  14.880 
2nlv/w2/  3.00   0.909  11.330 
2nlv/w2/  3.50   0.909   8.620 
2nlv/w2/  4.00   0.727   6.940 
2nlv/w2/  4.50   0.636   5.660 
2nlv/w2/  5.00   0.364   4.780 
2nlv/w2/  5.50   0.000   4.050 
2nlv/w2/  6.00   0.000   3.510 
2nlv/w3/  1.33   1.000  20.190 
2nlv/w3/  2.00   1.000  17.760 
2nlv/w3/  2.50   1.000  14.330 
2nlv/w3/  3.00   0.818  11.090 
2nlv/w3/  3.50   0.727   8.800 
2nlv/w3/  4.00   0.727   7.100 
2nlv/w3/  4.50   0.636   5.980 
2nlv/w3/  5.00   0.091   4.990 
2nlv/w3/  5.50   0.182   4.300 
2nlv/w3/  6.00   0.091   3.770 
2nuj/w1/  2.00   1.000  23.940 
2nuj/w1/  2.50   1.000  24.950 
2nuj/w1/  3.00   1.000  22.870 
2nuj/w1/  3.50   1.000  19.000 
2nuj/w1/  4.00   1.000  15.570 
2nuj/w1/  4.50   1.000  13.170 
2nuj/w1/  5.00   1.000  10.680 
2nuj/w1/  5.50   1.000   9.120 
2nuj/w1/  6.00   1.000   7.660 
2nwv/w1/  1.85   1.000  16.760 
2nwv/w1/  2.50   1.000  23.230 
2nwv/w1/  3.00   1.000  24.490 
2nwv/w1/  3.50   1.000  21.740 
2nwv/w1/  4.00   1.000  19.230 
2nwv/w1/  4.50   1.000  16.200 
2nwv/w1/  5.00   1.000  14.850 
2nwv/w1/  5.50   1.000  12.090 
2nwv/w1/  6.00   1.000  10.480 
2nwv/w2/  1.90   1.000  15.180 
2nwv/w2/  2.50   1.000  20.690 
2nwv/w2/  3.00   1.000  22.680 
2nwv/w2/  3.50   1.000  20.910 
2nwv/w2/  4.00   1.000  18.690 
2nwv/w2/  4.50   0.000  16.060 
2nwv/w2/  5.00   1.000  14.310 
2nwv/w2/  5.50   1.000  11.600 
2nwv/w2/  6.00   1.000  10.130 
2nwv/w3/  1.95   0.000  -0.040 
2nwv/w3/  2.50   0.000   1.160 
2nwv/w3/  3.00   0.000   1.690 
2nwv/w3/  3.50   0.000   2.010 
2nwv/w3/  4.00   0.000   1.120 
2nwv/w3/  4.50   0.000   0.860 
2nwv/w3/  5.00   0.000   0.260 
2nwv/w3/  5.50   0.000   0.280 
2nwv/w3/  6.00   0.000   1.040 
2o08/w1/  1.90   0.000   2.650 
2o08/w1/  2.50   0.000   3.590 
2o08/w1/  3.00   0.000   3.880 
2o08/w1/  3.50   0.000   3.910 
2o08/w1/  4.00   0.000   3.710 
2o08/w1/  4.50   0.000   3.010 
2o08/w1/  5.00   0.000   3.070 
2o08/w1/  5.50   0.125   2.730 
2o08/w1/  6.00   0.000   2.260 
2o08/w2/  2.47   0.000   9.520 
2o08/w2/  2.50   0.000   9.590 
2o08/w2/  3.00   0.000  10.520 
2o08/w2/  3.50   1.000  10.790 
2o08/w2/  4.00   1.000   9.560 
2o08/w2/  4.50   1.000   8.040 
2o08/w2/  5.00   0.000   7.200 
2o08/w2/  5.50   0.000   6.350 
2o08/w2/  6.00   0.000   5.760 
2o08/w3/  2.47   1.000  13.010 
2o08/w3/  2.50   1.000  13.060 
2o08/w3/  3.00   1.000  13.570 
2o08/w3/  3.50   1.000  13.010 
2o08/w3/  4.00   1.000  11.250 
2o08/w3/  4.50   1.000   9.420 
2o08/w3/  5.00   1.000   8.220 
2o08/w3/  5.50   0.375   7.130 
2o08/w3/  6.00   0.000   6.490 
2o08/w4/  2.46   0.000  11.110 
2o08/w4/  2.50   0.125  11.070 
2o08/w4/  3.00   0.125  11.830 
2o08/w4/  3.50   0.125  11.590 
2o08/w4/  4.00   0.000  10.180 
2o08/w4/  4.50   0.000   8.650 
2o08/w4/  5.00   0.000   7.660 
2o08/w4/  5.50   0.000   6.630 
2o08/w4/  6.00   0.000   5.960 
2o1q/w1/  1.50   0.182   2.650 
2o1q/w1/  2.00   0.182   3.050 
2o1q/w1/  2.50   0.000   2.640 
2o1q/w1/  3.00   0.000   2.360 
2o1q/w1/  3.50   0.000   1.940 
2o1q/w1/  4.00   0.000   1.580 
2o1q/w1/  4.50   0.000   1.310 
2o1q/w1/  5.00   0.182   1.030 
2o1q/w1/  5.50   0.000   0.730 
2o1q/w1/  6.00   0.000   0.600 
2o1q/w2/  2.00   0.818  10.370 
2o1q/w2/  2.50   0.818  11.050 
2o1q/w2/  3.00   0.909  10.640 
2o1q/w2/  3.50   0.000   8.860 
2o1q/w2/  4.00   0.182   7.570 
2o1q/w2/  4.50   0.182   6.410 
2o1q/w2/  5.00   0.091   5.250 
2o1q/w2/  5.50   0.091   4.420 
2o1q/w2/  6.00   0.000   3.710 
2o1q/w3/  2.00   0.182  14.230 
2o1q/w3/  2.50   0.182  13.910 
2o1q/w3/  3.00   0.818  12.470 
2o1q/w3/  3.50   0.818  10.160 
2o1q/w3/  4.00   0.000   8.350 
2o1q/w3/  4.50   0.000   6.900 
2o1q/w3/  5.00   0.182   5.520 
2o1q/w3/  5.50   0.091   4.500 
2o1q/w3/  6.00   0.000   3.800 
2o1q/w4/  2.00   0.182  10.920 
2o1q/w4/  2.50   0.909  11.970 
2o1q/w4/  3.00   0.000  10.970 
2o1q/w4/  3.50   0.000   9.100 
2o1q/w4/  4.00   0.273   7.810 
2o1q/w4/  4.50   0.000   6.570 
2o1q/w4/  5.00   0.000   5.310 
2o1q/w4/  5.50   0.000   4.470 
2o1q/w4/  6.00   0.000   3.710 
2o2x/w1/  1.50   1.000  28.390 
2o2x/w1/  2.00   1.000  27.860 
2o2x/w1/  2.50   1.000  21.960 
2o2x/w1/  3.00   1.000  17.320 
2o2x/w1/  3.50   1.000  13.270 
2o2x/w1/  4.00   1.000  11.520 
2o2x/w1/  4.50   1.000   9.540 
2o2x/w1/  5.00   0.600   7.840 
2o2x/w1/  5.50   0.200   6.800 
2o2x/w1/  6.00   0.200   5.980 
2o2x/w2/  1.50   1.000  27.960 
2o2x/w2/  2.00   1.000  26.870 
2o2x/w2/  2.50   1.000  21.200 
2o2x/w2/  3.00   1.000  16.800 
2o2x/w2/  3.50   1.000  12.750 
2o2x/w2/  4.00   1.000  11.180 
2o2x/w2/  4.50   1.000   9.200 
2o2x/w2/  5.00   1.000   7.490 
2o2x/w2/  5.50   0.200   6.440 
2o2x/w2/  6.00   0.000   5.540 
2o2z/w1/  2.60   1.000  15.530 
2o2z/w1/  3.00   1.000  17.400 
2o2z/w1/  3.50   1.000  17.850 
2o2z/w1/  4.00   1.000  16.060 
2o2z/w1/  4.50   1.000  14.060 
2o2z/w1/  5.00   1.000  12.080 
2o2z/w1/  5.50   0.000  10.180 
2o2z/w1/  6.00   0.048   8.810 
2o3l/w1/  2.05   1.000  12.400 
2o3l/w1/  2.50   1.000  11.770 
2o3l/w1/  3.00   1.000   9.700 
2o3l/w1/  3.50   0.786   7.730 
2o3l/w1/  4.00   0.143   6.420 
2o3l/w1/  4.50   0.000   5.420 
2o3l/w1/  5.00   0.071   4.370 
2o3l/w1/  5.50   0.000   3.840 
2o3l/w1/  6.00   0.071   3.520 
2o3l/w2/  2.00   0.929   8.920 
2o3l/w2/  2.50   0.929   9.850 
2o3l/w2/  3.00   0.857   8.770 
2o3l/w2/  3.50   0.786   7.170 
2o3l/w2/  4.00   0.000   6.080 
2o3l/w2/  4.50   0.000   5.260 
2o3l/w2/  5.00   0.071   4.260 
2o3l/w2/  5.50   0.071   3.780 
2o3l/w2/  6.00   0.071   3.480 
2o3l/w3/  2.00   1.000  10.740 
2o3l/w3/  2.50   1.000  11.060 
2o3l/w3/  3.00   1.000   9.300 
2o3l/w3/  3.50   0.857   7.560 
2o3l/w3/  4.00   0.643   6.340 
2o3l/w3/  4.50   0.571   5.360 
2o3l/w3/  5.00   0.000   4.320 
2o3l/w3/  5.50   0.000   3.740 
2o3l/w3/  6.00   0.000   3.340 
2o62/w1/  1.75   1.000  26.190 
2o62/w1/  2.50   1.000  28.740 
2o62/w1/  3.00   1.000  26.090 
2o62/w1/  3.50   1.000  22.630 
2o62/w1/  4.00   1.000  19.150 
2o62/w1/  4.50   1.000  16.150 
2o62/w1/  5.00   1.000  14.190 
2o62/w1/  5.50   1.000  12.150 
2o62/w1/  6.00   1.000  10.550 
2o7t/w1/  2.10   1.000   8.830 
2o7t/w1/  2.50   1.000  11.100 
2o7t/w1/  3.00   0.200  11.850 
2o7t/w1/  3.50   1.000  10.600 
2o7t/w1/  4.00   1.000   9.610 
2o7t/w1/  4.50   1.000   8.200 
2o7t/w1/  5.00   1.000   7.210 
2o7t/w1/  5.50   1.000   6.470 
2o7t/w1/  6.00   1.000   5.900 
2o7t/w2/  2.10   1.000  11.370 
2o7t/w2/  2.50   1.000  13.410 
2o7t/w2/  3.00   1.000  13.320 
2o7t/w2/  3.50   1.000  11.760 
2o7t/w2/  4.00   1.000  10.470 
2o7t/w2/  4.50   1.000   8.690 
2o7t/w2/  5.00   1.000   7.400 
2o7t/w2/  5.50   1.000   6.350 
2o7t/w2/  6.00   0.000   5.670 
2o8q/w1/  1.55   1.000  39.260 
2o8q/w1/  2.00   1.000  47.690 
2o8q/w1/  2.50   1.000  43.160 
2o8q/w1/  3.00   1.000  35.410 
2o8q/w1/  3.50   1.000  29.040 
2o8q/w1/  4.00   1.000  23.680 
2o8q/w1/  4.50   1.000  20.290 
2o8q/w1/  5.00   0.000  15.460 
2o8q/w1/  5.50   0.000  13.750 
2o8q/w1/  6.00   0.000  12.330 
2o8q/w2/  2.48   1.000  11.850 
2o8q/w2/  2.50   1.000  11.710 
2o8q/w2/  3.00   1.000  12.090 
2o8q/w2/  3.50   1.000  11.320 
2o8q/w2/  4.00   1.000  10.360 
2o8q/w2/  4.50   0.875   8.640 
2o8q/w2/  5.00   0.875   7.160 
2o8q/w2/  5.50   0.000   6.330 
2o8q/w2/  6.00   0.000   5.710 
2o8q/w3/  2.48   1.000  11.530 
2o8q/w3/  2.50   1.000  11.460 
2o8q/w3/  3.00   1.000  11.650 
2o8q/w3/  3.50   1.000  10.980 
2o8q/w3/  4.00   1.000   9.960 
2o8q/w3/  4.50   1.000   8.490 
2o8q/w3/  5.00   0.875   7.360 
2o8q/w3/  5.50   0.500   6.450 
2o8q/w3/  6.00   0.750   5.780 
2o8q/w4/  2.48   0.000   9.610 
2o8q/w4/  2.50   0.000   9.530 
2o8q/w4/  3.00   1.000   9.840 
2o8q/w4/  3.50   1.000   9.530 
2o8q/w4/  4.00   1.000   9.090 
2o8q/w4/  4.50   1.000   7.740 
2o8q/w4/  5.00   0.625   6.720 
2o8q/w4/  5.50   0.000   6.100 
2o8q/w4/  6.00   0.625   5.580 
2obp/w1/  1.70   1.000  26.050 
2obp/w1/  2.00   1.000  30.060 
2obp/w1/  2.50   1.000  29.250 
2obp/w1/  3.00   0.667  25.390 
2obp/w1/  3.50   0.667  21.900 
2obp/w1/  4.00   0.667  18.040 
2obp/w1/  4.50   0.667  15.300 
2obp/w1/  5.00   0.667  12.760 
2obp/w1/  5.50   0.667  11.880 
2obp/w1/  6.00   0.667  10.370 
2obp/w2/  1.70   1.000  27.880 
2obp/w2/  2.00   1.000  30.350 
2obp/w2/  2.50   1.000  27.950 
2obp/w2/  3.00   1.000  24.230 
2obp/w2/  3.50   0.667  20.760 
2obp/w2/  4.00   0.667  16.750 
2obp/w2/  4.50   0.667  14.490 
2obp/w2/  5.00   0.667  12.020 
2obp/w2/  5.50   0.667  11.110 
2obp/w2/  6.00   0.667   9.620 
2obp/w3/  1.70   1.000  32.000 
2obp/w3/  2.00   1.000  33.120 
2obp/w3/  2.50   1.000  28.910 
2obp/w3/  3.00   1.000  24.810 
2obp/w3/  3.50   0.667  20.680 
2obp/w3/  4.00   0.667  16.450 
2obp/w3/  4.50   0.667  13.920 
2obp/w3/  5.00   0.667  11.450 
2obp/w3/  5.50   0.667  10.490 
2obp/w3/  6.00   0.667   9.140 
2oc5/w1/  1.68   1.000  27.290 
2oc5/w1/  2.00   1.000  29.360 
2oc5/w1/  2.50   1.000  24.660 
2oc5/w1/  3.00   1.000  19.720 
2oc5/w1/  3.50   1.000  15.730 
2oc5/w1/  4.00   1.000  13.380 
2oc5/w1/  4.50   1.000  11.480 
2oc5/w1/  5.00   1.000   9.910 
2oc5/w1/  5.50   1.000   8.240 
2oc5/w1/  6.00   0.000   7.100 
2oc5/w2/  1.68   1.000  34.140 
2oc5/w2/  2.00   1.000  34.550 
2oc5/w2/  2.50   1.000  27.320 
2oc5/w2/  3.00   1.000  21.430 
2oc5/w2/  3.50   1.000  16.690 
2oc5/w2/  4.00   1.000  13.770 
2oc5/w2/  4.50   1.000  11.510 
2oc5/w2/  5.00   1.000   9.680 
2oc5/w2/  5.50   0.000   8.090 
2oc5/w2/  6.00   0.000   6.940 
2oc5/w3/  1.68   1.000  36.740 
2oc5/w3/  2.00   1.000  36.680 
2oc5/w3/  2.50   1.000  28.050 
2oc5/w3/  3.00   1.000  21.770 
2oc5/w3/  3.50   1.000  16.850 
2oc5/w3/  4.00   1.000  13.870 
2oc5/w3/  4.50   1.000  11.430 
2oc5/w3/  5.00   1.000   9.710 
2oc5/w3/  5.50   0.000   8.150 
2oc5/w3/  6.00   0.000   7.060 
2od5/w1/  1.79   1.000  13.100 
2od5/w1/  2.00   1.000  15.020 
2od5/w1/  2.50   1.000  17.630 
2od5/w1/  3.00   1.000  16.630 
2od5/w1/  3.50   1.000  14.990 
2od5/w1/  4.00   1.000  11.180 
2od5/w1/  4.50   1.000   9.620 
2od5/w1/  5.00   1.000   8.040 
2od5/w1/  5.50   0.000   7.100 
2od5/w1/  6.00   0.000   5.970 
2od5/w2/  1.85   1.000  12.990 
2od5/w2/  2.00   1.000  14.310 
2od5/w2/  2.50   1.000  17.470 
2od5/w2/  3.00   1.000  16.890 
2od5/w2/  3.50   1.000  14.980 
2od5/w2/  4.00   1.000  11.380 
2od5/w2/  4.50   0.500   9.720 
2od5/w2/  5.00   1.000   8.020 
2od5/w2/  5.50   0.500   7.070 
2od5/w2/  6.00   0.500   6.010 
2od6/w1/  1.85   0.815  13.090 
2od6/w1/  2.50   0.852  12.810 
2od6/w1/  3.00   0.815  10.560 
2od6/w1/  3.50   0.778   9.000 
2od6/w1/  4.00   0.037   7.260 
2od6/w1/  4.50   0.000   5.820 
2od6/w1/  5.00   0.074   4.760 
2od6/w1/  5.50   0.074   3.980 
2od6/w1/  6.00   0.074   3.450 
2od6/w2/  1.90   0.815  14.300 
2od6/w2/  2.50   0.074  12.910 
2od6/w2/  3.00   0.037  10.290 
2od6/w2/  3.50   0.815   8.490 
2od6/w2/  4.00   0.037   6.680 
2od6/w2/  4.50   0.037   5.140 
2od6/w2/  5.00   0.037   3.890 
2od6/w2/  5.50   0.000   3.160 
2od6/w2/  6.00   0.037   2.650 
2od6/w3/  1.90   0.852  12.490 
2od6/w3/  2.50   0.074  12.270 
2od6/w3/  3.00   0.148  10.230 
2od6/w3/  3.50   0.000   8.710 
2od6/w3/  4.00   0.037   7.010 
2od6/w3/  4.50   0.037   5.640 
2od6/w3/  5.00   0.037   4.560 
2od6/w3/  5.50   0.037   3.850 
2od6/w3/  6.00   0.037   3.280 
2oh3/w1/  2.00   0.571   8.710 
2oh3/w1/  2.50   1.000  10.270 
2oh3/w1/  3.00   1.000   9.370 
2oh3/w1/  3.50   1.000   8.160 
2oh3/w1/  4.00   0.000   6.400 
2oh3/w1/  4.50   0.000   5.120 
2oh3/w1/  5.00   0.000   4.610 
2oh3/w1/  5.50   0.000   4.170 
2oh3/w1/  6.00   0.143   3.830 
2oh3/w2/  2.00   1.000   9.830 
2oh3/w2/  2.50   1.000  10.910 
2oh3/w2/  3.00   1.000   9.580 
2oh3/w2/  3.50   1.000   8.030 
2oh3/w2/  4.00   0.000   6.400 
2oh3/w2/  4.50   0.000   5.110 
2oh3/w2/  5.00   0.000   4.460 
2oh3/w2/  5.50   0.000   4.090 
2oh3/w2/  6.00   0.000   3.650 
2okc/w1/  2.20   0.030   7.080 
2okc/w1/  2.50   0.667   8.290 
2okc/w1/  3.00   0.636   8.890 
2okc/w1/  3.50   0.636   8.220 
2okc/w1/  4.00   0.636   7.120 
2okc/w1/  4.50   0.000   5.980 
2okc/w1/  5.00   0.000   5.170 
2okc/w1/  5.50   0.000   4.460 
2okc/w1/  6.00   0.030   4.030 
2okc/w2/  2.21   0.667   9.060 
2okc/w2/  2.50   0.667   9.910 
2okc/w2/  3.00   0.667   9.600 
2okc/w2/  3.50   0.667   8.390 
2okc/w2/  4.00   0.667   7.050 
2okc/w2/  4.50   0.667   5.740 
2okc/w2/  5.00   0.000   4.820 
2okc/w2/  5.50   0.000   4.130 
2okc/w2/  6.00   0.000   3.710 
2okc/w3/  2.21   0.030   6.800 
2okc/w3/  2.50   0.061   7.810 
2okc/w3/  3.00   0.636   8.710 
2okc/w3/  3.50   0.636   8.170 
2okc/w3/  4.00   0.636   7.160 
2okc/w3/  4.50   0.030   6.070 
2okc/w3/  5.00   0.030   5.240 
2okc/w3/  5.50   0.030   4.500 
2okc/w3/  6.00   0.030   4.030 
2okf/w1/  1.60   0.500  30.620 
2okf/w1/  2.00   0.500  37.430 
2okf/w1/  2.50   0.500  34.250 
2okf/w1/  3.00   0.500  27.960 
2okf/w1/  3.50   0.500  23.400 
2okf/w1/  4.00   0.500  20.210 
2okf/w1/  4.50   0.500  17.580 
2okf/w1/  5.00   0.500  14.700 
2okf/w1/  5.50   0.500  12.940 
2okf/w1/  6.00   0.500  10.590 
2okf/w2/  1.60   1.000  34.140 
2okf/w2/  2.00   0.500  41.260 
2okf/w2/  2.50   0.500  36.580 
2okf/w2/  3.00   0.500  30.430 
2okf/w2/  3.50   0.500  24.910 
2okf/w2/  4.00   0.500  21.520 
2okf/w2/  4.50   0.500  18.220 
2okf/w2/  5.00   0.500  15.050 
2okf/w2/  5.50   0.500  13.600 
2okf/w2/  6.00   0.500  11.180 
2okf/w3/  1.60   0.750  40.030 
2okf/w3/  2.00   0.500  45.670 
2okf/w3/  2.50   0.500  39.300 
2okf/w3/  3.00   0.500  32.200 
2okf/w3/  3.50   0.500  26.010 
2okf/w3/  4.00   0.500  22.000 
2okf/w3/  4.50   0.500  18.210 
2okf/w3/  5.00   0.500  14.720 
2okf/w3/  5.50   0.500  13.140 
2okf/w3/  6.00   0.500  10.770 
2ooj/w1/  1.84   1.000  12.120 
2ooj/w1/  2.50   0.875  11.090 
2ooj/w1/  3.00   0.812   9.410 
2ooj/w1/  3.50   0.812   7.570 
2ooj/w1/  4.00   0.125   6.240 
2ooj/w1/  4.50   0.125   5.240 
2ooj/w1/  5.00   0.062   4.610 
2ooj/w1/  5.50   0.000   3.930 
2ooj/w1/  6.00   0.000   3.400 
2opk/w1/  2.10   0.625  10.730 
2opk/w1/  2.50   1.000  11.830 
2opk/w1/  3.00   1.000  12.230 
2opk/w1/  3.50   0.000  11.750 
2opk/w1/  4.00   0.000  10.250 
2opk/w1/  4.50   0.000   9.550 
2opk/w1/  5.00   0.000   8.280 
2opk/w1/  5.50   0.000   7.360 
2opk/w1/  6.00   0.000   6.450 
2opk/w2/  2.10   0.000  13.770 
2opk/w2/  2.50   1.000  14.520 
2opk/w2/  3.00   1.000  14.570 
2opk/w2/  3.50   1.000  13.960 
2opk/w2/  4.00   1.000  12.200 
2opk/w2/  4.50   0.000  10.960 
2opk/w2/  5.00   0.000   9.410 
2opk/w2/  5.50   0.125   8.270 
2opk/w2/  6.00   0.000   7.240 
2opk/w3/  2.10   0.000  11.790 
2opk/w3/  2.50   1.000  12.560 
2opk/w3/  3.00   0.000  12.900 
2opk/w3/  3.50   1.000  12.280 
2opk/w3/  4.00   0.125  10.700 
2opk/w3/  4.50   0.000   9.700 
2opk/w3/  5.00   0.000   8.240 
2opk/w3/  5.50   0.000   7.240 
2opk/w3/  6.00   0.000   6.250 
2osd/w1/  2.30   1.000  10.820 
2osd/w1/  3.00   1.000  13.580 
2osd/w1/  3.50   1.000  13.250 
2osd/w1/  4.00   1.000  11.670 
2osd/w1/  4.50   1.000   9.550 
2osd/w1/  5.00   1.000   8.310 
2osd/w1/  5.50   0.000   7.320 
2osd/w1/  6.00   0.000   6.440 
2osd/w2/  2.30   1.000  14.310 
2osd/w2/  3.00   1.000  15.690 
2osd/w2/  3.50   1.000  14.450 
2osd/w2/  4.00   1.000  12.410 
2osd/w2/  4.50   1.000   9.930 
2osd/w2/  5.00   0.000   8.640 
2osd/w2/  5.50   0.000   7.460 
2osd/w2/  6.00   0.000   6.580 
2osd/w3/  2.30   1.000  10.400 
2osd/w3/  3.00   1.000  12.640 
2osd/w3/  3.50   1.000  12.540 
2osd/w3/  4.00   1.000  11.250 
2osd/w3/  4.50   1.000   9.210 
2osd/w3/  5.00   1.000   8.250 
2osd/w3/  5.50   0.333   7.170 
2osd/w3/  6.00   0.000   6.290 
2otm/w1/  1.85   1.000  13.310 
2otm/w1/  2.50   1.000  15.140 
2otm/w1/  3.00   1.000  13.880 
2otm/w1/  3.50   1.000  11.680 
2otm/w1/  4.00   1.000  10.100 
2otm/w1/  4.50   1.000   8.650 
2otm/w1/  5.00   0.083   7.540 
2otm/w1/  5.50   0.083   6.420 
2otm/w1/  6.00   0.083   5.870 
2otm/w2/  1.85   1.000  13.110 
2otm/w2/  2.50   1.000  14.430 
2otm/w2/  3.00   1.000  13.410 
2otm/w2/  3.50   1.000  11.220 
2otm/w2/  4.00   1.000   9.720 
2otm/w2/  4.50   0.833   8.360 
2otm/w2/  5.00   0.500   7.060 
2otm/w2/  5.50   0.250   5.980 
2otm/w2/  6.00   0.167   5.370 
2otm/w3/  1.90   1.000  15.140 
2otm/w3/  2.50   1.000  16.700 
2otm/w3/  3.00   1.000  15.080 
2otm/w3/  3.50   1.000  12.520 
2otm/w3/  4.00   1.000  10.670 
2otm/w3/  4.50   1.000   9.090 
2otm/w3/  5.00   0.333   7.710 
2otm/w3/  5.50   0.417   6.550 
2otm/w3/  6.00   0.333   5.860 
2ozg/w1/  2.00   1.000  17.690 
2ozg/w1/  2.50   1.000  20.480 
2ozg/w1/  3.00   1.000  19.600 
2ozg/w1/  3.50   1.000  16.980 
2ozg/w1/  4.00   1.000  14.180 
2ozg/w1/  4.50   0.000  11.900 
2ozg/w1/  5.00   1.000  10.790 
2ozg/w1/  5.50   0.000   9.360 
2ozg/w1/  6.00   0.000   8.420 
2ozg/w2/  2.05   0.000   8.230 
2ozg/w2/  2.50   0.000  10.350 
2ozg/w2/  3.00   0.000  10.110 
2ozg/w2/  3.50   0.000   9.270 
2ozg/w2/  4.00   0.000   7.780 
2ozg/w2/  4.50   0.000   6.720 
2ozg/w2/  5.00   0.000   6.390 
2ozg/w2/  5.50   0.000   5.880 
2ozg/w2/  6.00   0.000   5.400 
2ozg/w3/  2.05   1.000  23.310 
2ozg/w3/  2.50   1.000  25.190 
2ozg/w3/  3.00   1.000  23.490 
2ozg/w3/  3.50   1.000  19.760 
2ozg/w3/  4.00   1.000  16.240 
2ozg/w3/  4.50   1.000  13.130 
