GET ATOMIC IMAGES OF A CHOSEN RESOLUTION

input file of scattering factors :
    MX_wk1995_6.SF
truncation radius          11.0000
distance grid step          0.0010
resolution cut-off          1.0000
resolution grid number   2000
temperature factor          0.0000
number of atomic types      7
following atomic types are chosen :
    C    N    O    P    S    Fe   Au  

scattering factors file. First line:
following wk1995.cpp from Phenix

table of scattering factors contains data for  213  atomic types
    6 -Gaussian approximation is used
identified positions in the table
    7    8    9   16   17   27   80

     N     dist       C              N              O              P              S              Fe             Au             
  3515     3.5150        0.04302251     0.04953612     0.05988790     0.17145299     0.18007514     0.29568408     1.20175765
  3516     3.5160        0.04296593     0.04947549     0.05981863     0.17123229     0.17983903     0.29532467     1.20018241
  3517     3.5170        0.04290772     0.04941298     0.05974706     0.17100507     0.17959608     0.29495400     1.19856151
  3518     3.5180        0.04284788     0.04934858     0.05967321     0.17077134     0.17934630     0.29457208     1.19689505
  3519     3.5190        0.04278641     0.04928229     0.05959708     0.17053113     0.17908972     0.29417894     1.19518315
  3520     3.5200        0.04272332     0.04921413     0.05951867     0.17028446     0.17882635     0.29377461     1.19342594
  3521     3.5210        0.04265861     0.04914411     0.05943799     0.17003133     0.17855621     0.29335913     1.19162353
  3522     3.5220        0.04259228     0.04907221     0.05935505     0.16977177     0.17827932     0.29293252     1.18977604
  3523     3.5230        0.04252435     0.04899845     0.05926985     0.16950579     0.17799570     0.29249480     1.18788361
  3524     3.5240        0.04245482     0.04892284     0.05918240     0.16923341     0.17770535     0.29204601     1.18594634
  3525     3.5250        0.04238368     0.04884537     0.05909270     0.16895466     0.17740832     0.29158619     1.18396438
  3526     3.5260        0.04231095     0.04876606     0.05900076     0.16866954     0.17710461     0.29111535     1.18193785
  3527     3.5270        0.04223663     0.04868491     0.05890659     0.16837807     0.17679424     0.29063353     1.17986688
  3528     3.5280        0.04216073     0.04860192     0.05881018     0.16808028     0.17647723     0.29014077     1.17775160
  3529     3.5290        0.04208324     0.04851710     0.05871156     0.16777619     0.17615360     0.28963709     1.17559214
  3530     3.5300        0.04200418     0.04843046     0.05861072     0.16746580     0.17582338     0.28912252     1.17338864
  3531     3.5310        0.04192354     0.04834200     0.05850768     0.16714915     0.17548658     0.28859710     1.17114124
  3532     3.5320        0.04184134     0.04825172     0.05840243     0.16682625     0.17514323     0.28806087     1.16885007
  3533     3.5330        0.04175758     0.04815963     0.05829498     0.16649712     0.17479334     0.28751385     1.16651528
  3534     3.5340        0.04167226     0.04806574     0.05818535     0.16616178     0.17443693     0.28695607     1.16413700
  3535     3.5350        0.04158539     0.04797006     0.05807353     0.16582025     0.17407404     0.28638758     1.16171537
  3536     3.5360        0.04149698     0.04787258     0.05795954     0.16547255     0.17370467     0.28580841     1.15925055
  3537     3.5370        0.04140702     0.04777332     0.05784338     0.16511871     0.17332885     0.28521859     1.15674267
  3538     3.5380        0.04131553     0.04767228     0.05772506     0.16475874     0.17294661     0.28461815     1.15419189
  3539     3.5390        0.04122251     0.04756946     0.05760459     0.16439266     0.17255796     0.28400714     1.15159835
  3540     3.5400        0.04112797     0.04746488     0.05748196     0.16402050     0.17216293     0.28338558     1.14896221
  3541     3.5410        0.04103190     0.04735854     0.05735720     0.16364227     0.17176153     0.28275352     1.14628360
  3542     3.5420        0.04093432     0.04725044     0.05723031     0.16325801     0.17135381     0.28211099     1.14356270
  3543     3.5430        0.04083523     0.04714059     0.05710129     0.16286772     0.17093976     0.28145803     1.14079965
  3544     3.5440        0.04073464     0.04702900     0.05697015     0.16247144     0.17051943     0.28079468     1.13799460
  3545     3.5450        0.04063256     0.04691568     0.05683691     0.16206918     0.17009283     0.28012097     1.13514772
  3546     3.5460        0.04052898     0.04680062     0.05670156     0.16166097     0.16965999     0.27943694     1.13225916
  3547     3.5470        0.04042391     0.04668384     0.05656412     0.16124683     0.16922093     0.27874263     1.12932909
  3548     3.5480        0.04031737     0.04656534     0.05642459     0.16082678     0.16877568     0.27803808     1.12635767
  3549     3.5490        0.04020935     0.04644513     0.05628298     0.16040085     0.16832425     0.27732332     1.12334506
  3550     3.5500        0.04009986     0.04632322     0.05613930     0.15996906     0.16786668     0.27659841     1.12029142
  3551     3.5510        0.03998892     0.04619962     0.05599355     0.15953143     0.16740299     0.27586337     1.11719692
  3552     3.5520        0.03987651     0.04607432     0.05584575     0.15908799     0.16693320     0.27511825     1.11406173
  3553     3.5530        0.03976266     0.04594734     0.05569591     0.15863876     0.16645735     0.27436309     1.11088601
  3554     3.5540        0.03964736     0.04581868     0.05554402     0.15818376     0.16597544     0.27359793     1.10766994
  3555     3.5550        0.03953062     0.04568835     0.05539011     0.15772302     0.16548752     0.27282281     1.10441370
  3556     3.5560        0.03941245     0.04555636     0.05523417     0.15725657     0.16499361     0.27203777     1.10111744
  3557     3.5570        0.03929286     0.04542271     0.05507622     0.15678443     0.16449373     0.27124286     1.09778135
  3558     3.5580        0.03917184     0.04528742     0.05491627     0.15630662     0.16398791     0.27043811     1.09440560
  3559     3.5590        0.03904942     0.04515048     0.05475431     0.15582317     0.16347617     0.26962358     1.09099037
  3560     3.5600        0.03892559     0.04501191     0.05459037     0.15533410     0.16295855     0.26879929     1.08753584
  3561     3.5610        0.03880035     0.04487172     0.05442445     0.15483944     0.16243507     0.26796530     1.08404219
  3562     3.5620        0.03867373     0.04472990     0.05425656     0.15433922     0.16190575     0.26712165     1.08050959
  3563     3.5630        0.03854571     0.04458648     0.05408671     0.15383346     0.16137063     0.26626839     1.07693824
  3564     3.5640        0.03841632     0.04444144     0.05391490     0.15332218     0.16082973     0.26540555     1.07332831
  3565     3.5650        0.03828555     0.04429481     0.05374115     0.15280542     0.16028308     0.26453318     1.06967999
  3566     3.5660        0.03815342     0.04414660     0.05356546     0.15228320     0.15973071     0.26365133     1.06599346
  3567     3.5670        0.03801992     0.04399679     0.05338785     0.15175555     0.15917264     0.26276004     1.06226892
  3568     3.5680        0.03788507     0.04384542     0.05320833     0.15122249     0.15860890     0.26185936     1.05850655
  3569     3.5690        0.03774888     0.04369248     0.05302689     0.15068405     0.15803953     0.26094934     1.05470654
  3570     3.5700        0.03761134     0.04353798     0.05284356     0.15014025     0.15746455     0.26003001     1.05086909
  3571     3.5710        0.03747248     0.04338193     0.05265833     0.14959113     0.15688399     0.25910143     1.04699438
  3572     3.5720        0.03733228     0.04322433     0.05247123     0.14903672     0.15629787     0.25816365     1.04308261
  3573     3.5730        0.03719077     0.04306520     0.05228226     0.14847703     0.15570624     0.25721670     1.03913397
  3574     3.5740        0.03704794     0.04290454     0.05209142     0.14791210     0.15510911     0.25626065     1.03514867
  3575     3.5750        0.03690381     0.04274237     0.05189874     0.14734196     0.15450652     0.25529552     1.03112689
  3576     3.5760        0.03675838     0.04257868     0.05170421     0.14676663     0.15389849     0.25432139     1.02706885
  3577     3.5770        0.03661166     0.04241349     0.05150785     0.14618615     0.15328507     0.25333828     1.02297472
  3578     3.5780        0.03646366     0.04224680     0.05130967     0.14560053     0.15266626     0.25234626     1.01884473
  3579     3.5790        0.03631438     0.04207863     0.05110968     0.14500982     0.15204212     0.25134536     1.01467907
  3580     3.5800        0.03616383     0.04190898     0.05090789     0.14441403     0.15141266     0.25033565     1.01047794
  3581     3.5810        0.03601202     0.04173786     0.05070430     0.14381320     0.15077792     0.24931716     1.00624155
  3582     3.5820        0.03585895     0.04156528     0.05049893     0.14320736     0.15013793     0.24828995     1.00197010
  3583     3.5830        0.03570464     0.04139124     0.05029179     0.14259654     0.14949272     0.24725407     0.99766380
  3584     3.5840        0.03554909     0.04121576     0.05008289     0.14198076     0.14884232     0.24620957     0.99332286
  3585     3.5850        0.03539230     0.04103885     0.04987223     0.14136005     0.14818676     0.24515649     0.98894749
  3586     3.5860        0.03523430     0.04086050     0.04965984     0.14073446     0.14752608     0.24409490     0.98453789
  3587     3.5870        0.03507507     0.04068074     0.04944571     0.14010399     0.14686030     0.24302484     0.98009429
  3588     3.5880        0.03491463     0.04049956     0.04922986     0.13946870     0.14618946     0.24194636     0.97561688
  3589     3.5890        0.03475300     0.04031699     0.04901230     0.13882859     0.14551359     0.24085952     0.97110589
  3590     3.5900        0.03459017     0.04013302     0.04879304     0.13818372     0.14483272     0.23976436     0.96656153
  3591     3.5910        0.03442615     0.03994766     0.04857209     0.13753410     0.14414688     0.23866094     0.96198401
  3592     3.5920        0.03426095     0.03976093     0.04834946     0.13687977     0.14345611     0.23754932     0.95737356
  3593     3.5930        0.03409459     0.03957284     0.04812517     0.13622076     0.14276044     0.23642953     0.95273038
  3594     3.5940        0.03392706     0.03938338     0.04789921     0.13555710     0.14205990     0.23530165     0.94805470
  3595     3.5950        0.03375837     0.03919258     0.04767161     0.13488882     0.14135452     0.23416571     0.94334673
  3596     3.5960        0.03358854     0.03900044     0.04744237     0.13421595     0.14064434     0.23302178     0.93860671
  3597     3.5970        0.03341757     0.03880697     0.04721151     0.13353853     0.13992939     0.23186991     0.93383484
  3598     3.5980        0.03324547     0.03861217     0.04697903     0.13285658     0.13920971     0.23071015     0.92903136
  3599     3.5990        0.03307224     0.03841606     0.04674495     0.13217014     0.13848532     0.22954255     0.92419648
  3600     3.6000        0.03289790     0.03821865     0.04650928     0.13147924     0.13775627     0.22836718     0.91933043
  3601     3.6010        0.03272245     0.03801995     0.04627202     0.13078391     0.13702258     0.22718408     0.91443343
  3602     3.6020        0.03254590     0.03781996     0.04603320     0.13008418     0.13628428     0.22599331     0.90950572
  3603     3.6030        0.03236826     0.03761869     0.04579281     0.12938009     0.13554142     0.22479493     0.90454752
  3604     3.6040        0.03218954     0.03741616     0.04555088     0.12867167     0.13479403     0.22358899     0.89955906
  3605     3.6050        0.03200975     0.03721237     0.04530741     0.12795895     0.13404214     0.22237555     0.89454056
  3606     3.6060        0.03182888     0.03700733     0.04506241     0.12724196     0.13328579     0.22115466     0.88949227
  3607     3.6070        0.03164696     0.03680106     0.04481590     0.12652074     0.13252500     0.21992638     0.88441440
  3608     3.6080        0.03146399     0.03659355     0.04456789     0.12579532     0.13175983     0.21869077     0.87930719
  3609     3.6090        0.03127998     0.03638483     0.04431838     0.12506573     0.13099029     0.21744788     0.87417088
  3610     3.6100        0.03109494     0.03617490     0.04406740     0.12433201     0.13021643     0.21619776     0.86900570
  3611     3.6110        0.03090887     0.03596376     0.04381494     0.12359418     0.12943827     0.21494049     0.86381187
  3612     3.6120        0.03072178     0.03575144     0.04356103     0.12285230     0.12865587     0.21367611     0.85858965
  3613     3.6130        0.03053369     0.03553794     0.04330568     0.12210637     0.12786924     0.21240468     0.85333926
  3614     3.6140        0.03034460     0.03532326     0.04304889     0.12135645     0.12707843     0.21112626     0.84806094
  3615     3.6150        0.03015451     0.03510742     0.04279067     0.12060256     0.12628348     0.20984090     0.84275494
  3616     3.6160        0.02996345     0.03489044     0.04253105     0.11984474     0.12548441     0.20854868     0.83742148
  3617     3.6170        0.02977141     0.03467231     0.04227003     0.11908302     0.12468127     0.20724963     0.83206081
  3618     3.6180        0.02957841     0.03445304     0.04200762     0.11831744     0.12387408     0.20594383     0.82667317
  3619     3.6190        0.02938445     0.03423266     0.04174384     0.11754803     0.12306290     0.20463133     0.82125880
  3620     3.6200        0.02918954     0.03401116     0.04147870     0.11677482     0.12224774     0.20331218     0.81581794
  3621     3.6210        0.02899369     0.03378856     0.04121220     0.11599786     0.12142866     0.20198646     0.81035083
  3622     3.6220        0.02879691     0.03356487     0.04094436     0.11521717     0.12060568     0.20065422     0.80485773
  3623     3.6230        0.02859922     0.03334010     0.04067520     0.11443278     0.11977884     0.19931551     0.79933887
  3624     3.6240        0.02840060     0.03311425     0.04040472     0.11364475     0.11894818     0.19797040     0.79379449
  3625     3.6250        0.02820109     0.03288735     0.04013294     0.11285309     0.11811373     0.19661895     0.78822485
  3626     3.6260        0.02800068     0.03265939     0.03985987     0.11205784     0.11727554     0.19526122     0.78263019
  3627     3.6270        0.02779938     0.03243038     0.03958552     0.11125905     0.11643364     0.19389726     0.77701076
  3628     3.6280        0.02759721     0.03220035     0.03930990     0.11045673     0.11558806     0.19252714     0.77136680
  3629     3.6290        0.02739417     0.03196929     0.03903303     0.10965094     0.11473885     0.19115092     0.76569857
  3630     3.6300        0.02719026     0.03173723     0.03875492     0.10884171     0.11388604     0.18976866     0.76000630
  3631     3.6310        0.02698551     0.03150416     0.03847557     0.10802906     0.11302967     0.18838043     0.75429026
  3632     3.6320        0.02677992     0.03127010     0.03819501     0.10721304     0.11216977     0.18698627     0.74855070
  3633     3.6330        0.02657349     0.03103506     0.03791325     0.10639368     0.11130639     0.18558626     0.74278786
  3634     3.6340        0.02636624     0.03079905     0.03763029     0.10557103     0.11043956     0.18418045     0.73700199
  3635     3.6350        0.02615817     0.03056208     0.03734615     0.10474510     0.10956932     0.18276890     0.73119336
  3636     3.6360        0.02594930     0.03032416     0.03706085     0.10391595     0.10869571     0.18135169     0.72536220
  3637     3.6370        0.02573964     0.03008530     0.03677439     0.10308360     0.10781876     0.17992886     0.71950878
  3638     3.6380        0.02552918     0.02984551     0.03648678     0.10224809     0.10693851     0.17850049     0.71363335
  3639     3.6390        0.02531795     0.02960480     0.03619805     0.10140947     0.10605501     0.17706663     0.70773616
  3640     3.6400        0.02510595     0.02936318     0.03590820     0.10056775     0.10516828     0.17562734     0.70181748
  3641     3.6410        0.02489318     0.02912067     0.03561724     0.09972299     0.10427837     0.17418270     0.69587754
  3642     3.6420        0.02467967     0.02887727     0.03532519     0.09887522     0.10338532     0.17273275     0.68991663
  3643     3.6430        0.02446542     0.02863299     0.03503207     0.09802447     0.10248917     0.17127757     0.68393497
  3644     3.6440        0.02425043     0.02838785     0.03473787     0.09717078     0.10158995     0.16981722     0.67793285
  3645     3.6450        0.02403472     0.02814185     0.03444262     0.09631419     0.10068770     0.16835176     0.67191051
  3646     3.6460        0.02381830     0.02789501     0.03414633     0.09545474     0.09978246     0.16688125     0.66586821
  3647     3.6470        0.02360117     0.02764733     0.03384901     0.09459245     0.09887427     0.16540576     0.65980622
  3648     3.6480        0.02338334     0.02739883     0.03355068     0.09372738     0.09796317     0.16392534     0.65372479
  3649     3.6490        0.02316483     0.02714952     0.03325134     0.09285955     0.09704920     0.16244007     0.64762417
  3650     3.6500        0.02294565     0.02689940     0.03295102     0.09198900     0.09613239     0.16095001     0.64150464
  3651     3.6510        0.02272579     0.02664850     0.03264971     0.09111578     0.09521279     0.15945522     0.63536646
  3652     3.6520        0.02250528     0.02639681     0.03234745     0.09023991     0.09429043     0.15795577     0.62920987
  3653     3.6530        0.02228412     0.02614435     0.03204423     0.08936143     0.09336536     0.15645171     0.62303516
  3654     3.6540        0.02206232     0.02589113     0.03174007     0.08848039     0.09243761     0.15494312     0.61684257
  3655     3.6550        0.02183989     0.02563717     0.03143499     0.08759681     0.09150722     0.15343005     0.61063237
  3656     3.6560        0.02161684     0.02538246     0.03112899     0.08671074     0.09057424     0.15191257     0.60440482
  3657     3.6570        0.02139318     0.02512703     0.03082210     0.08582222     0.08963870     0.15039076     0.59816020
  3658     3.6580        0.02116892     0.02487089     0.03051432     0.08493127     0.08870063     0.14886466     0.59189875
  3659     3.6590        0.02094407     0.02461404     0.03020567     0.08403795     0.08776009     0.14733434     0.58562075
  3660     3.6600        0.02071863     0.02435649     0.02989615     0.08314228     0.08681711     0.14579988     0.57932646
  3661     3.6610        0.02049262     0.02409826     0.02958579     0.08224431     0.08587173     0.14426133     0.57301614
  3662     3.6620        0.02026605     0.02383936     0.02927460     0.08134407     0.08492399     0.14271876     0.56669006
  3663     3.6630        0.02003892     0.02357980     0.02896258     0.08044159     0.08397392     0.14117224     0.56034848
  3664     3.6640        0.01981125     0.02331959     0.02864976     0.07953693     0.08302158     0.13962182     0.55399168
  3665     3.6650        0.01958304     0.02305873     0.02833615     0.07863011     0.08206699     0.13806758     0.54761992
  3666     3.6660        0.01935431     0.02279725     0.02802175     0.07772118     0.08111021     0.13650958     0.54123345
  3667     3.6670        0.01912506     0.02253515     0.02770658     0.07681017     0.08015126     0.13494789     0.53483256
  3668     3.6680        0.01889530     0.02227244     0.02739066     0.07589712     0.07919019     0.13338256     0.52841750
  3669     3.6690        0.01866505     0.02200914     0.02707400     0.07498206     0.07822704     0.13181368     0.52198855
  3670     3.6700        0.01843431     0.02174525     0.02675661     0.07406504     0.07726185     0.13024129     0.51554597
  3671     3.6710        0.01820309     0.02148079     0.02643851     0.07314610     0.07629466     0.12866547     0.50909003
  3672     3.6720        0.01797141     0.02121577     0.02611971     0.07222527     0.07532551     0.12708628     0.50262099
  3673     3.6730        0.01773927     0.02095019     0.02580021     0.07130259     0.07435444     0.12550380     0.49613914
  3674     3.6740        0.01750667     0.02068407     0.02548004     0.07037809     0.07338148     0.12391807     0.48964472
  3675     3.6750        0.01727364     0.02041743     0.02515921     0.06945183     0.07240669     0.12232918     0.48313802
  3676     3.6760        0.01704018     0.02015026     0.02483774     0.06852383     0.07143009     0.12073718     0.47661929
  3677     3.6770        0.01680630     0.01988259     0.02451562     0.06759413     0.07045174     0.11914215     0.47008882
  3678     3.6780        0.01657200     0.01961442     0.02419289     0.06666277     0.06947167     0.11754414     0.46354687
  3679     3.6790        0.01633731     0.01934576     0.02386954     0.06572980     0.06848991     0.11594323     0.45699370
  3680     3.6800        0.01610223     0.01907663     0.02354561     0.06479524     0.06750652     0.11433947     0.45042960
  3681     3.6810        0.01586676     0.01880704     0.02322109     0.06385914     0.06652153     0.11273295     0.44385482
  3682     3.6820        0.01563093     0.01853699     0.02289600     0.06292154     0.06553499     0.11112371     0.43726963
  3683     3.6830        0.01539473     0.01826651     0.02257036     0.06198247     0.06454692     0.10951183     0.43067431
  3684     3.6840        0.01515817     0.01799559     0.02224418     0.06104197     0.06355738     0.10789738     0.42406913
  3685     3.6850        0.01492128     0.01772425     0.02191746     0.06010008     0.06256640     0.10628042     0.41745436
  3686     3.6860        0.01468405     0.01745251     0.02159024     0.05915685     0.06157403     0.10466101     0.41083026
  3687     3.6870        0.01444650     0.01718037     0.02126251     0.05821230     0.06058030     0.10303923     0.40419711
  3688     3.6880        0.01420863     0.01690784     0.02093430     0.05726647     0.05958525     0.10141514     0.39755517
  3689     3.6890        0.01397046     0.01663494     0.02060561     0.05631941     0.05858893     0.09978880     0.39090472
  3690     3.6900        0.01373200     0.01636168     0.02027646     0.05537116     0.05759138     0.09816029     0.38424603
  3691     3.6910        0.01349325     0.01608806     0.01994687     0.05442174     0.05659263     0.09652966     0.37757937
  3692     3.6920        0.01325423     0.01581411     0.01961684     0.05347121     0.05559272     0.09489699     0.37090500
  3693     3.6930        0.01301494     0.01553982     0.01928639     0.05251959     0.05459171     0.09326234     0.36422320
  3694     3.6940        0.01277539     0.01526521     0.01895553     0.05156694     0.05358962     0.09162578     0.35753424
  3695     3.6950        0.01253560     0.01499030     0.01862428     0.05061327     0.05258650     0.08998737     0.35083839
  3696     3.6960        0.01229557     0.01471509     0.01829265     0.04965865     0.05158239     0.08834718     0.34413591
  3697     3.6970        0.01205532     0.01443960     0.01796066     0.04870309     0.05057733     0.08670528     0.33742709
  3698     3.6980        0.01181485     0.01416383     0.01762831     0.04774665     0.04957136     0.08506173     0.33071218
  3699     3.6990        0.01157417     0.01388779     0.01729562     0.04678936     0.04856451     0.08341660     0.32399146
  3700     3.7000        0.01133329     0.01361151     0.01696260     0.04583125     0.04755684     0.08176996     0.31726521
  3701     3.7010        0.01109223     0.01333498     0.01662928     0.04487237     0.04654838     0.08012186     0.31053368
  3702     3.7020        0.01085098     0.01305823     0.01629565     0.04391276     0.04553917     0.07847239     0.30379715
  3703     3.7030        0.01060957     0.01278125     0.01596174     0.04295245     0.04452925     0.07682160     0.29705589
  3704     3.7040        0.01036800     0.01250407     0.01562755     0.04199149     0.04351867     0.07516956     0.29031016
  3705     3.7050        0.01012628     0.01222669     0.01529311     0.04102990     0.04250745     0.07351634     0.28356025
  3706     3.7060        0.00988442     0.01194913     0.01495842     0.04006773     0.04149565     0.07186200     0.27680641
  3707     3.7070        0.00964243     0.01167139     0.01462350     0.03910503     0.04048330     0.07020661     0.27004892
  3708     3.7080        0.00940032     0.01139349     0.01428836     0.03814181     0.03947045     0.06855024     0.26328805
  3709     3.7090        0.00915810     0.01111544     0.01395301     0.03717813     0.03845713     0.06689295     0.25652406
  3710     3.7100        0.00891577     0.01083725     0.01361747     0.03621403     0.03744338     0.06523481     0.24975723
  3711     3.7110        0.00867336     0.01055892     0.01328176     0.03524953     0.03642925     0.06357588     0.24298782
  3712     3.7120        0.00843086     0.01028048     0.01294588     0.03428469     0.03541477     0.06191623     0.23621610
  3713     3.7130        0.00818829     0.01000193     0.01260985     0.03331953     0.03439999     0.06025592     0.22944234
  3714     3.7140        0.00794566     0.00972328     0.01227367     0.03235409     0.03338494     0.05859503     0.22266680
  3715     3.7150        0.00770297     0.00944455     0.01193738     0.03138842     0.03236967     0.05693362     0.21588976
  3716     3.7160        0.00746024     0.00916575     0.01160097     0.03042256     0.03135421     0.05527175     0.20911149
  3717     3.7170        0.00721748     0.00888688     0.01126447     0.02945653     0.03033861     0.05360949     0.20233224
  3718     3.7180        0.00697469     0.00860795     0.01092788     0.02849038     0.02932290     0.05194690     0.19555229
  3719     3.7190        0.00673189     0.00832899     0.01059122     0.02752415     0.02830713     0.05028405     0.18877191
  3720     3.7200        0.00648908     0.00805000     0.01025450     0.02655787     0.02729133     0.04862101     0.18199136
  3721     3.7210        0.00624628     0.00777098     0.00991773     0.02559158     0.02627555     0.04695785     0.17521090
  3722     3.7220        0.00600349     0.00749196     0.00958094     0.02462533     0.02525982     0.04529462     0.16843081
  3723     3.7230        0.00576072     0.00721294     0.00924412     0.02365914     0.02424419     0.04363139     0.16165134
  3724     3.7240        0.00551799     0.00693393     0.00890730     0.02269306     0.02322869     0.04196823     0.15487277
  3725     3.7250        0.00527529     0.00665495     0.00857049     0.02172712     0.02221337     0.04030520     0.14809536
  3726     3.7260        0.00503265     0.00637601     0.00823370     0.02076136     0.02119826     0.03864237     0.14131937
  3727     3.7270        0.00479007     0.00609711     0.00789695     0.01979583     0.02018340     0.03697981     0.13454508
  3728     3.7280        0.00454756     0.00581826     0.00756024     0.01883055     0.01916883     0.03531758     0.12777273
  3729     3.7290        0.00430514     0.00553949     0.00722359     0.01786556     0.01815460     0.03365573     0.12100260
  3730     3.7300        0.00406280     0.00526079     0.00688702     0.01690090     0.01714074     0.03199435     0.11423495
  3731     3.7310        0.00382055     0.00498219     0.00655054     0.01593662     0.01612729     0.03033349     0.10747004
  3732     3.7320        0.00357842     0.00470368     0.00621415     0.01497274     0.01511429     0.02867322     0.10070814
  3733     3.7330        0.00333641     0.00442529     0.00587788     0.01400931     0.01410179     0.02701360     0.09394951
  3734     3.7340        0.00309452     0.00414702     0.00554174     0.01304636     0.01308981     0.02535470     0.08719440
  3735     3.7350        0.00285277     0.00386888     0.00520574     0.01208393     0.01207839     0.02369657     0.08044309
  3736     3.7360        0.00261116     0.00359088     0.00486989     0.01112205     0.01106759     0.02203930     0.07369582
  3737     3.7370        0.00236971     0.00331304     0.00453420     0.01016077     0.01005743     0.02038293     0.06695287
  3738     3.7380        0.00212842     0.00303537     0.00419870     0.00920012     0.00904796     0.01872754     0.06021449
  3739     3.7390        0.00188731     0.00275787     0.00386338     0.00824013     0.00803921     0.01707319     0.05348095
  3740     3.7400        0.00164638     0.00248056     0.00352827     0.00728085     0.00703123     0.01541994     0.04675249
  3741     3.7410        0.00140564     0.00220345     0.00319338     0.00632231     0.00602404     0.01376785     0.04002938
  3742     3.7420        0.00116510     0.00192654     0.00285872     0.00536455     0.00501770     0.01211699     0.03331188
  3743     3.7430        0.00092478     0.00164986     0.00252431     0.00440761     0.00401223     0.01046743     0.02660024
  3744     3.7440        0.00068467     0.00137340     0.00219015     0.00345151     0.00300769     0.00881922     0.01989473
  3745     3.7450        0.00044479     0.00109718     0.00185626     0.00249631     0.00200410     0.00717243     0.01319560
  3746     3.7460        0.00020515     0.00082122     0.00152265     0.00154203     0.00100150     0.00552713     0.00650310
  3747     3.7470       -0.00003424     0.00054551     0.00118934     0.00058871    -0.00000007     0.00388337    -0.00018251
  3748     3.7480       -0.00027337     0.00027008     0.00085634    -0.00036361    -0.00100056     0.00224122    -0.00686097
  3749     3.7490       -0.00051224    -0.00000507     0.00052365    -0.00131490    -0.00199994     0.00060074    -0.01353203
  3750     3.7500       -0.00075084    -0.00027992     0.00019130    -0.00226512    -0.00299818    -0.00103801    -0.02019544
  3751     3.7510       -0.00098915    -0.00055448    -0.00014070    -0.00321423    -0.00399523    -0.00267496    -0.02685094
  3752     3.7520       -0.00122717    -0.00082872    -0.00047235    -0.00416219    -0.00499106    -0.00431004    -0.03349828
  3753     3.7530       -0.00146489    -0.00110263    -0.00080362    -0.00510898    -0.00598563    -0.00594321    -0.04013721
  3754     3.7540       -0.00170229    -0.00137621    -0.00113451    -0.00605456    -0.00697891    -0.00757440    -0.04676747
  3755     3.7550       -0.00193938    -0.00164945    -0.00146500    -0.00699888    -0.00797084    -0.00920354    -0.05338882
  3756     3.7560       -0.00217614    -0.00192233    -0.00179508    -0.00794192    -0.00896140    -0.01083057    -0.06000100
  3757     3.7570       -0.00241256    -0.00219484    -0.00212474    -0.00888364    -0.00995055    -0.01245543    -0.06660377
  3758     3.7580       -0.00264863    -0.00246698    -0.00245397    -0.00982400    -0.01093826    -0.01407806    -0.07319687
  3759     3.7590       -0.00288435    -0.00273873    -0.00278275    -0.01076297    -0.01192448    -0.01569840    -0.07978006
  3760     3.7600       -0.00311970    -0.00301008    -0.00311107    -0.01170050    -0.01290917    -0.01731639    -0.08635309
  3761     3.7610       -0.00335468    -0.00328103    -0.00343892    -0.01263658    -0.01389231    -0.01893196    -0.09291571
  3762     3.7620       -0.00358928    -0.00355156    -0.00376628    -0.01357116    -0.01487385    -0.02054506    -0.09946767
  3763     3.7630       -0.00382349    -0.00382166    -0.00409315    -0.01450420    -0.01585375    -0.02215562    -0.10600874
  3764     3.7640       -0.00405729    -0.00409132    -0.00441950    -0.01543568    -0.01683199    -0.02376359    -0.11253865
  3765     3.7650       -0.00429069    -0.00436054    -0.00474534    -0.01636555    -0.01780852    -0.02536890    -0.11905718
  3766     3.7660       -0.00452367    -0.00462930    -0.00507064    -0.01729378    -0.01878331    -0.02697149    -0.12556408
  3767     3.7670       -0.00475623    -0.00489759    -0.00539540    -0.01822034    -0.01975632    -0.02857131    -0.13205910
  3768     3.7680       -0.00498835    -0.00516540    -0.00571960    -0.01914519    -0.02072751    -0.03016829    -0.13854200
  3769     3.7690       -0.00522003    -0.00543273    -0.00604323    -0.02006830    -0.02169685    -0.03176237    -0.14501253
  3770     3.7700       -0.00545126    -0.00569956    -0.00636628    -0.02098964    -0.02266430    -0.03335349    -0.15147047
  3771     3.7710       -0.00568202    -0.00596588    -0.00668873    -0.02190916    -0.02362983    -0.03494160    -0.15791556
  3772     3.7720       -0.00591232    -0.00623168    -0.00701058    -0.02282684    -0.02459340    -0.03652664    -0.16434758
  3773     3.7730       -0.00614214    -0.00649695    -0.00733181    -0.02374264    -0.02555497    -0.03810854    -0.17076627
  3774     3.7740       -0.00637147    -0.00676169    -0.00765241    -0.02465653    -0.02651451    -0.03968725    -0.17717141
  3775     3.7750       -0.00660031    -0.00702588    -0.00797236    -0.02556847    -0.02747199    -0.04126271    -0.18356275
  3776     3.7760       -0.00682865    -0.00728951    -0.00829167    -0.02647843    -0.02842736    -0.04283485    -0.18994006
  3777     3.7770       -0.00705647    -0.00755257    -0.00861030    -0.02738637    -0.02938060    -0.04440363    -0.19630310
  3778     3.7780       -0.00728378    -0.00781506    -0.00892826    -0.02829227    -0.03033166    -0.04596899    -0.20265165
  3779     3.7790       -0.00751056    -0.00807696    -0.00924553    -0.02919609    -0.03128051    -0.04753086    -0.20898546
